Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,UNIT_MEASURE,Value
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,,,,,Primary education,Percent,58.8
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,,,,,Primary education,Percent,63.7
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,,,,,Lower secondary education,Percent,63.3
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,,,,,Lower secondary education,Percent,65.2
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,,,,,Upper secondary education,Percent,57.7
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,,,,,Upper secondary education,Percent,62.8
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,,,,,Post-secondary non-tertiary education,Percent,59.7
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,,,,,Post-secondary non-tertiary education,Percent,68.1
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,,,,,Tertiary education (Bachelor’s and Master's or equivalent),Percent,53.7
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,,,,,Tertiary education (Bachelor’s and Master's or equivalent),Percent,64.5
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,,,,Quintile 1 (poorest),,Percent,52.4
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,,,,Quintile 1 (poorest),,Percent,55.4
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,,,,Quintile 2,,Percent,58.1
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,,,,Quintile 2,,Percent,63.2
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,,,,Quintile 3,,Percent,57.9
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,,,,Quintile 3,,Percent,65.8
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,,,,Quintile 4,,Percent,60.9
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,,,,Quintile 4,,Percent,69.9
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,,,,Quintile 5 (richest),,Percent,59.2
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,,,,Quintile 5 (richest),,Percent,65.7
