Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,UNIT_MEASURE,Value
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,,Y_GE15,,,ISCED11_4,PT,39.576314
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,,Y_GE15,,,ISCED11_6_7,PT,44.1
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,,Y_GE15,,,ISCED11_6_7,PT,54.556962
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,,Y_GE15,,Q1,,PT,12.285869
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,,Y_GE15,,Q1,,PT,19.928329
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,,Y_GE15,,Q2,,PT,20.108219
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,,Y_GE15,,Q2,,PT,29.54173
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,,Y_GE15,,Q3,,PT,23.688371
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,,Y_GE15,,Q3,,PT,31.242776
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,,Y_GE15,,Q4,,PT,28.405545
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,,Y_GE15,,Q4,,PT,36.901646
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,,Y_GE15,,Q5,,PT,32.674186
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,,Y_GE15,,Q5,,PT,38.816776
