Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,UNIT_MEASURE,Value
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG07,,,,,,PT,44.5
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG08,,,,,,PT,63.1
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG08,,,,,,PT,54.5
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG11,,,,,,PT,67.7
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG11,,,,,,PT,59.8
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG21,,,,,,PT,94.6
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG21,,,,,,PT,95.0
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,,Y15T28,,,,PT,48.4
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,,Y15T28,,,,PT,53.0
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,,Y29T62,,,,PT,48.9
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,,Y29T62,,,,PT,52.8
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,,Y_GE58,,,,PT,48.1
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,,Y_GE58,,,,PT,49.0
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,,,,,ISCED11_1,PT,48.2
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,,,,,ISCED11_1,PT,51.5
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,,,,,ISCED11_2,PT,51.2
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,,,,,ISCED11_2,PT,52.7
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,,,,,ISCED11_3,PT,42.7
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,,,,,ISCED11_3,PT,48.7
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,,,,,ISCED11_4,PT,55.4
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,,,,,ISCED11_4,PT,55.3
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,,,,,ISCED11_6_7,PT,56.0
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,,,,,ISCED11_6_7,PT,58.3
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,,,,Q1,,PT,37.4
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,,,,Q1,,PT,40.1
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,,,,Q2,,PT,46.5
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,,,,Q2,,PT,50.8
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,,,,Q3,,PT,48.4
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,,,,Q3,,PT,52.0
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,,,,Q4,,PT,51.1
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,,,,Q4,,PT,55.9
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,,,,Q5,,PT,55.3
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,,,,Q5,,PT,58.2
