Year,OBS_STATUS,UNIT_MULT,NATURE,COMMENT_OBS,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,UNIT_MEASURE,Value
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SE_DEV_ONTRK,KG07,,Y0T4,,,PT,65.1
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SE_DEV_ONTRK,KG08,,Y0T4,,,PT,73.5
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SE_DEV_ONTRK,KG08,,Y0T4,,,PT,72.0
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SE_DEV_ONTRK,KG11,,Y0T4,,,PT,87.4
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SE_DEV_ONTRK,KG11,,Y0T4,,,PT,81.3
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SE_DEV_ONTRK,KG21,,Y0T4,,,PT,52.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SE_DEV_ONTRK,KG21,,Y0T4,,,PT,71.5
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SE_DEV_ONTRK,KG,M,Y0T4,,,PT,76.1
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SE_DEV_ONTRK,KG,M,Y0T4,,,PT,68.2
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SE_DEV_ONTRK,KG,F,Y0T4,,,PT,80.6
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SE_DEV_ONTRK,KG,F,Y0T4,,,PT,75.0
2014,A,0,C,education of mother,A,N,SE_DEV_ONTRK,KG,,Y0T4,,ISCED11_2,PT,70.1
2018,A,0,C,education of mother,A,N,SE_DEV_ONTRK,KG,,Y0T4,,ISCED11_2,PT,71.0
2014,A,0,C,education of mother,A,N,SE_DEV_ONTRK,KG,,Y0T4,,ISCED11_3,PT,77.2
2018,A,0,C,education of mother,A,N,SE_DEV_ONTRK,KG,,Y0T4,,ISCED11_3,PT,73.8
2014,A,0,C,education of mother,A,N,SE_DEV_ONTRK,KG,,Y0T4,,ISCED11_4,PT,80.8
2018,A,0,C,education of mother,A,N,SE_DEV_ONTRK,KG,,Y0T4,,ISCED11_4,PT,70.6
2014,A,0,C,education of mother,A,N,SE_DEV_ONTRK,KG,,Y0T4,,ISCED11_5,PT,81.8
2018,A,0,C,education of mother,A,N,SE_DEV_ONTRK,KG,,Y0T4,,ISCED11_5,PT,69.6
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SE_DEV_ONTRK,KG,,Y0T4,Q1,,PT,76.5
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SE_DEV_ONTRK,KG,,Y0T4,Q1,,PT,72.5
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SE_DEV_ONTRK,KG,,Y0T4,Q2,,PT,80.3
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SE_DEV_ONTRK,KG,,Y0T4,Q2,,PT,70.6
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SE_DEV_ONTRK,KG,,Y0T4,Q3,,PT,73.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SE_DEV_ONTRK,KG,,Y0T4,Q3,,PT,67.2
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SE_DEV_ONTRK,KG,,Y0T4,Q4,,PT,79.3
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SE_DEV_ONTRK,KG,,Y0T4,Q4,,PT,71.0
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SE_DEV_ONTRK,KG,,Y0T4,Q5,,PT,84.3
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SE_DEV_ONTRK,KG,,Y0T4,Q5,,PT,78.0
