Year,OBS_STATUS,UNIT_MULT,NATURE,COMMENT_OBS,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,DISABILITY_STATUS,UNIT_MEASURE,Value
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_FPL_MTMM,KG,F,Y45T49,,,,,PT,66.0
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014.",A,N,SH_FPL_MTMM,KG,F,,,,ISCED11_1,,PT,20.4
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014.",A,N,SH_FPL_MTMM,KG,F,,,,ISCED11_2,,PT,36.5
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_FPL_MTMM,KG,F,,,,ISCED11_2,,PT,67.8
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014.",A,N,SH_FPL_MTMM,KG,F,,,,ISCED11_3,,PT,42.1
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_FPL_MTMM,KG,F,,,,ISCED11_3,,PT,62.9
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014.",A,N,SH_FPL_MTMM,KG,F,,,,ISCED11_4,,PT,43.3
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_FPL_MTMM,KG,F,,,,ISCED11_4,,PT,66.2
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014.",A,N,SH_FPL_MTMM,KG,F,,,,ISCED11_5,,PT,43.7
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_FPL_MTMM,KG,F,,,,ISCED11_5,,PT,74.3
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_FPL_MTMM,KG,F,,,,,PD,PT,81.6
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_FPL_MTMM,KG,F,,,,,PWD,PT,67.1
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014.",A,N,SH_FPL_MTMM,KG,F,,,Q1,,,PT,42.5
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_FPL_MTMM,KG,F,,,Q1,,,PT,66.5
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014.",A,N,SH_FPL_MTMM,KG,F,,,Q2,,,PT,37.8
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_FPL_MTMM,KG,F,,,Q2,,,PT,60.7
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014.",A,N,SH_FPL_MTMM,KG,F,,,Q3,,,PT,39.1
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_FPL_MTMM,KG,F,,,Q3,,,PT,69.2
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014.",A,N,SH_FPL_MTMM,KG,F,,,Q4,,,PT,45.1
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_FPL_MTMM,KG,F,,,Q4,,,PT,69.3
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014.",A,N,SH_FPL_MTMM,KG,F,,,Q5,,,PT,45.3
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_FPL_MTMM,KG,F,,,Q5,,,PT,71.4
