Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,UNIT_MEASURE,Value
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG08,,,,,,PT,65.7
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG11,,,,,,PT,31.2
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG11,,,,,,PT,45.0
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG21,,,,,,PT,86.7
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG21,,,,,,PT,98.7
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,,Y15T28,,,,PT,56.6
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,,Y15T28,,,,PT,61.8
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,,Y29T62,,,,PT,59.4
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,,Y29T62,,,,PT,66.2
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,,Y_GE58,,,,PT,54.1
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,,Y_GE58,,,,PT,61.9
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,,,,,ISCED11_1,PT,58.8
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,,,,,ISCED11_1,PT,63.7
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,,,,,ISCED11_2,PT,63.3
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,,,,,ISCED11_2,PT,65.2
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,,,,,ISCED11_3,PT,57.7
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,,,,,ISCED11_3,PT,62.8
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,,,,,ISCED11_4,PT,59.7
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,,,,,ISCED11_4,PT,68.1
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,,,,,ISCED11_6_7,PT,53.7
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,,,,,ISCED11_6_7,PT,64.5
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,,,,Q1,,PT,52.4
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,,,,Q1,,PT,55.4
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,,,,Q2,,PT,58.1
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,,,,Q2,,PT,63.2
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,,,,Q3,,PT,57.9
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,,,,Q3,,PT,65.8
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,,,,Q4,,PT,60.9
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,,,,Q4,,PT,69.9
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,,,,Q5,,PT,59.2
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,VC_SNS_WALN,KG,,,,Q5,,PT,65.7
