Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Batken,Male,"Per 100,000 population",19
2008,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Batken,Male,"Per 100,000 population",5
2009,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Batken,Male,"Per 100,000 population",23
2011,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Batken,Male,"Per 100,000 population",9
2013,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Batken,Male,"Per 100,000 population",4
2014,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Batken,Male,"Per 100,000 population",4
2015,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Batken,Male,"Per 100,000 population",32
2016,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Batken,Male,"Per 100,000 population",4
2017,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Batken,Male,"Per 100,000 population",27
2018,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Batken,Male,"Per 100,000 population",8
2019,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Batken,Male,"Per 100,000 population",44
2007,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Jalal-Abad,,"Per 100,000 population",2
2008,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Jalal-Abad,,"Per 100,000 population",2
2009,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Jalal-Abad,,"Per 100,000 population",9
2010,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Jalal-Abad,,"Per 100,000 population",6
2011,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Jalal-Abad,,"Per 100,000 population",3
2012,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Jalal-Abad,,"Per 100,000 population",5
2015,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Jalal-Abad,,"Per 100,000 population",1
2016,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Jalal-Abad,,"Per 100,000 population",1
2017,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Jalal-Abad,,"Per 100,000 population",5
2019,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Jalal-Abad,,"Per 100,000 population",4
2009,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Jalal-Abad,Female,"Per 100,000 population",8
2010,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Jalal-Abad,Female,"Per 100,000 population",6
2012,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Jalal-Abad,Female,"Per 100,000 population",2
2019,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Jalal-Abad,Female,"Per 100,000 population",3
2007,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Jalal-Abad,Male,"Per 100,000 population",4
2008,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Jalal-Abad,Male,"Per 100,000 population",4
2009,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Jalal-Abad,Male,"Per 100,000 population",10
2010,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Jalal-Abad,Male,"Per 100,000 population",6
2011,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Jalal-Abad,Male,"Per 100,000 population",6
2012,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Jalal-Abad,Male,"Per 100,000 population",7
2015,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Jalal-Abad,Male,"Per 100,000 population",2
2016,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Jalal-Abad,Male,"Per 100,000 population",2
2017,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Jalal-Abad,Male,"Per 100,000 population",10
2019,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Jalal-Abad,Male,"Per 100,000 population",5
2007,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,,"Per 100,000 population",28
2008,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,,"Per 100,000 population",37
2009,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,,"Per 100,000 population",25
2010,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,,"Per 100,000 population",14
2011,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,,"Per 100,000 population",18
2012,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,,"Per 100,000 population",7
2013,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,,"Per 100,000 population",15
2014,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,,"Per 100,000 population",24
2015,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,,"Per 100,000 population",2
2016,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,,"Per 100,000 population",13
2017,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,,"Per 100,000 population",10
2018,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,,"Per 100,000 population",8
2019,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,,"Per 100,000 population",6
2007,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,Female,"Per 100,000 population",14
2008,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,Female,"Per 100,000 population",32
2009,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,Female,"Per 100,000 population",9
2010,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,Female,"Per 100,000 population",9
2011,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,Female,"Per 100,000 population",13
2012,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,Female,"Per 100,000 population",4
2013,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,Female,"Per 100,000 population",9
2014,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,Female,"Per 100,000 population",4
2016,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,Female,"Per 100,000 population",13
2017,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,Female,"Per 100,000 population",4
2019,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,Female,"Per 100,000 population",4
2007,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,Male,"Per 100,000 population",42
2008,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,Male,"Per 100,000 population",42
2009,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,Male,"Per 100,000 population",41
2010,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,Male,"Per 100,000 population",18
2011,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,Male,"Per 100,000 population",23
2012,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,Male,"Per 100,000 population",9
2013,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,Male,"Per 100,000 population",22
2014,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,Male,"Per 100,000 population",44
2015,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,Male,"Per 100,000 population",4
2016,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,Male,"Per 100,000 population",13
2017,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,Male,"Per 100,000 population",17
2018,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,Male,"Per 100,000 population",17
2019,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Issyk-Kul,Male,"Per 100,000 population",8
2007,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Naryn,,"Per 100,000 population",12
2010,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Naryn,,"Per 100,000 population",4
2013,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Naryn,,"Per 100,000 population",4
2018,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Naryn,,"Per 100,000 population",11
2007,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Naryn,Female,"Per 100,000 population",8
2018,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Naryn,Female,"Per 100,000 population",7
2007,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Naryn,Male,"Per 100,000 population",15
2010,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Naryn,Male,"Per 100,000 population",8
2013,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Naryn,Male,"Per 100,000 population",7
2018,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Naryn,Male,"Per 100,000 population",14
2008,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Osh,,"Per 100,000 population",2
2009,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Osh,,"Per 100,000 population",3
2011,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Osh,,"Per 100,000 population",1
2012,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Osh,,"Per 100,000 population",3
2015,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Osh,,"Per 100,000 population",3
2016,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Osh,,"Per 100,000 population",2
2017,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Osh,,"Per 100,000 population",2
2018,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Osh,,"Per 100,000 population",2
2019,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Osh,,"Per 100,000 population",4
2008,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Osh,Female,"Per 100,000 population",2
2012,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Osh,Female,"Per 100,000 population",3
2015,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Osh,Female,"Per 100,000 population",2
2017,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Osh,Female,"Per 100,000 population",3
2019,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Osh,Female,"Per 100,000 population",3
2008,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Osh,Male,"Per 100,000 population",2
2009,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Osh,Male,"Per 100,000 population",5
2011,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Osh,Male,"Per 100,000 population",2
2012,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Osh,Male,"Per 100,000 population",3
2015,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Osh,Male,"Per 100,000 population",5
2016,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Osh,Male,"Per 100,000 population",5
2018,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Osh,Male,"Per 100,000 population",3
2019,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Osh,Male,"Per 100,000 population",6
2008,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Talas,,"Per 100,000 population",9
2009,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Talas,,"Per 100,000 population",4
2013,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Talas,,"Per 100,000 population",4
2014,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Talas,,"Per 100,000 population",4
2015,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Talas,,"Per 100,000 population",4
2016,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Talas,,"Per 100,000 population",4
2019,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Talas,,"Per 100,000 population",4
2008,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Talas,Male,"Per 100,000 population",18
2009,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Talas,Male,"Per 100,000 population",9
2013,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Talas,Male,"Per 100,000 population",8
2014,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Talas,Male,"Per 100,000 population",8
2015,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Talas,Male,"Per 100,000 population",8
2016,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Talas,Male,"Per 100,000 population",8
2019,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Talas,Male,"Per 100,000 population",7
2007,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Chui,,"Per 100,000 population",42
2008,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Chui,,"Per 100,000 population",61
2009,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Chui,,"Per 100,000 population",30
2010,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Chui,,"Per 100,000 population",32
2011,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Chui,,"Per 100,000 population",23
2012,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Chui,,"Per 100,000 population",31
2013,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Chui,,"Per 100,000 population",22
2014,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Chui,,"Per 100,000 population",19
2015,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Chui,,"Per 100,000 population",20
2016,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Chui,,"Per 100,000 population",22
2017,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Chui,,"Per 100,000 population",22
2018,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Chui,,"Per 100,000 population",26
2019,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Chui,,"Per 100,000 population",20
2007,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Chui,Female,"Per 100,000 population",25
2008,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Chui,Female,"Per 100,000 population",44
2009,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Chui,Female,"Per 100,000 population",24
2010,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Chui,Female,"Per 100,000 population",22
2011,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Chui,Female,"Per 100,000 population",5
2012,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Chui,Female,"Per 100,000 population",17
2013,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Chui,Female,"Per 100,000 population",7
2014,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Chui,Female,"Per 100,000 population",7
2015,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Chui,Female,"Per 100,000 population",16
2016,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Chui,Female,"Per 100,000 population",4
2017,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Chui,Female,"Per 100,000 population",13
2018,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Chui,Female,"Per 100,000 population",17
