Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Observation-level footnotes,Value
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Issyk-Kul,Percent,,38.7
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Issyk-Kul,Percent,,41.4
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Issyk-Kul,Percent,,30.5
2011,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Naryn,Percent,,5.6
2012,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Naryn,Percent,,6.3
2013,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Naryn,Percent,,12.5
2014,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Naryn,Percent,,14.2
2015,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Naryn,Percent,,13.7
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Naryn,Percent,,17.0
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Naryn,Percent,,17.8
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Naryn,Percent,,20.4
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Naryn,Percent,,21.8
2011,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Osh,Percent,until 2013 y. including Osh city,8.3
2012,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Osh,Percent,until 2013 y. including Osh city,7.8
2013,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Osh,Percent,,0.2
2014,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Osh,Percent,,0.7
2015,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Osh,Percent,,0.5
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Osh,Percent,,0.4
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Osh,Percent,,0.0
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Osh,Percent,,0.5
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Osh,Percent,,1.7
2011,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Talas,Percent,,9.0
2012,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Talas,Percent,,7.8
2013,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Talas,Percent,,5.1
2014,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Talas,Percent,,5.5
2015,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Talas,Percent,,6.5
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Talas,Percent,,6.5
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Talas,Percent,,6.1
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Talas,Percent,,6.0
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Talas,Percent,,6.2
2011,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Chui,Percent,,41.9
2012,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Chui,Percent,,46.1
2013,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Chui,Percent,,46.2
2014,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Chui,Percent,,49.2
2015,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Chui,Percent,,48.7
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Chui,Percent,,51.0
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Chui,Percent,,48.9
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Chui,Percent,,56.8
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Chui,Percent,,63.3
2011,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Bishkek (city),Percent,,84.6
2012,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Bishkek (city),Percent,,85.1
2013,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Bishkek (city),Percent,,98.6
2014,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Bishkek (city),Percent,,99.4
2015,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Bishkek (city),Percent,,98.6
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Bishkek (city),Percent,,99.7
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Bishkek (city),Percent,,97.4
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Bishkek (city),Percent,,96.5
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Bishkek (city),Percent,,96.1
2013,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Osh (city),Percent,,28.7
2014,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Osh (city),Percent,,27.9
2015,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Osh (city),Percent,,28.2
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Osh (city),Percent,,29.5
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Osh (city),Percent,,25.4
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Osh (city),Percent,,25.5
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Osh (city),Percent,,30.9
