Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,Value
2016,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG,,,R,PT,57.4
2017,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG,,,R,PT,56.8
2018,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG,,,R,PT,52.4
2019,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG,,,R,PT,48.5
2016,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG05,,,,PT,64.9
2017,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG05,,,,PT,66.0
2018,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG05,,,,PT,64.8
2019,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG05,,,,PT,63.5
2016,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG03,,,,PT,59.6
2017,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG03,,,,PT,61.5
2018,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG03,,,,PT,53.8
2019,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG03,,,,PT,50.4
2016,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG02,,,,PT,45.2
2017,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG02,,,,PT,47.0
2018,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG02,,,,PT,42.7
2019,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG02,,,,PT,46.3
2016,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG04,,,,PT,58.3
2017,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG04,,,,PT,50.0
2018,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG04,,,,PT,48.5
2019,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG04,,,,PT,47.8
2016,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG06,,,,PT,57.5
2017,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG06,,,,PT,52.1
2018,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG06,,,,PT,58.5
2019,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG06,,,,PT,45.8
2016,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG07,,,,PT,49.8
2017,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG07,,,,PT,39.8
2018,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG07,,,,PT,43.0
2019,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG07,,,,PT,40.2
2016,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG08,,,,PT,45.4
2017,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG08,,,,PT,48.7
2018,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG08,,,,PT,28.0
2019,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG08,,,,PT,31.7
2016,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG11,,,,PT,26.8
2017,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG11,,,,PT,29.9
2018,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG11,,,,PT,25.4
2019,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG11,,,,PT,22.2
2016,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG21,,,,PT,47.3
2017,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG21,,,,PT,58.6
2018,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG21,,,,PT,51.3
2019,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG21,,,,PT,45.9
