Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2017,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG02,IX,29.5
2018,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG02,IX,19.463418
2019,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG02,IX,31.583101
2015,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG04,IX,20.617825
2016,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG04,IX,19.923049
2017,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG04,IX,28.473393
2018,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG04,IX,30.739784
2019,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG04,IX,47.289369
2015,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG06,IX,34.255749
2016,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG06,IX,30.917948
2017,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG06,IX,32.665922
2018,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG06,IX,27.856595
2019,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG06,IX,37.990784
2015,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG07,IX,36.443189
2016,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG07,IX,34.131511
2017,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG07,IX,31.207421
2018,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG07,IX,34.060446
2019,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG07,IX,29.962169
2015,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG08,IX,31.422096
2016,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG08,IX,25.580014
2017,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG08,IX,38.456746
2018,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG08,IX,35.486614
2019,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG08,IX,23.647168
2015,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG11,IX,9.584576
2016,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG11,IX,12.583671
2017,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG11,IX,16.3
2018,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG11,IX,12.865469
2019,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG11,IX,16.50586
2015,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG21,IX,16.932905
2016,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG21,IX,40.826476
2017,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG21,IX,42.862634
2018,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG21,IX,38.281575
2019,A,0,C,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",A,N,_L_KG_160602_1A,KG21,IX,31.381882
