Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Batken,Male,Number,6
2008,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Batken,Male,Number,9
2010,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Batken,Male,Number,11
2011,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Batken,Male,Number,4
2012,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Batken,Male,Number,7
2013,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Batken,Male,Number,3
2014,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Batken,Male,Number,3
2015,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Batken,Male,Number,1
2016,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Batken,Male,Number,7
2019,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Batken,Male,Number,4
2007,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Batken,Female,Number,2
2010,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Batken,Female,Number,4
2011,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Batken,Female,Number,3
2012,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Batken,Female,Number,2
2016,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Batken,Female,Number,2
2019,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Batken,Female,Number,2
2007,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Jalal-Abad,,Number,5
2008,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Jalal-Abad,,Number,25
2009,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Jalal-Abad,,Number,39
2010,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Jalal-Abad,,Number,32
2011,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Jalal-Abad,,Number,35
2012,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Jalal-Abad,,Number,33
2013,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Jalal-Abad,,Number,31
2014,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Jalal-Abad,,Number,17
2015,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Jalal-Abad,,Number,11
2016,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Jalal-Abad,,Number,13
2017,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Jalal-Abad,,Number,43
2018,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Jalal-Abad,,Number,4
2007,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Jalal-Abad,Male,Number,5
2008,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Jalal-Abad,Male,Number,18
2009,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Jalal-Abad,Male,Number,27
2010,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Jalal-Abad,Male,Number,21
2011,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Jalal-Abad,Male,Number,27
2012,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Jalal-Abad,Male,Number,17
2013,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Jalal-Abad,Male,Number,22
2014,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Jalal-Abad,Male,Number,11
2015,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Jalal-Abad,Male,Number,5
2016,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Jalal-Abad,Male,Number,9
2017,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Jalal-Abad,Male,Number,29
2018,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Jalal-Abad,Male,Number,4
2008,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Jalal-Abad,Female,Number,7
2009,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Jalal-Abad,Female,Number,12
2010,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Jalal-Abad,Female,Number,11
2011,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Jalal-Abad,Female,Number,8
2012,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Jalal-Abad,Female,Number,16
2013,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Jalal-Abad,Female,Number,9
2014,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Jalal-Abad,Female,Number,6
2015,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Jalal-Abad,Female,Number,6
2016,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Jalal-Abad,Female,Number,4
2017,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Jalal-Abad,Female,Number,14
2007,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,,Number,14
2008,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,,Number,42
2009,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,,Number,11
2010,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,,Number,15
2011,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,,Number,17
2012,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,,Number,4
2013,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,,Number,21
2014,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,,Number,25
2015,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,,Number,6
2016,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,,Number,2
2017,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,,Number,6
2018,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,,Number,2
2019,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,,Number,5
2007,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,Male,Number,10
2008,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,Male,Number,26
2009,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,Male,Number,7
2010,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,Male,Number,10
2011,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,Male,Number,9
2012,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,Male,Number,4
2013,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,Male,Number,13
2014,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,Male,Number,16
2015,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,Male,Number,5
2016,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,Male,Number,1
2017,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,Male,Number,6
2018,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,Male,Number,1
2019,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,Male,Number,2
2007,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,Female,Number,4
2008,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,Female,Number,16
2009,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,Female,Number,4
2010,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,Female,Number,5
2011,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,Female,Number,8
2013,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,Female,Number,8
2014,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,Female,Number,9
2015,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,Female,Number,1
2016,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,Female,Number,1
2018,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,Female,Number,1
2019,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Issyk-Kul,Female,Number,3
2007,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Naryn,,Number,5
2008,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Naryn,,Number,6
2010,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Naryn,,Number,7
2012,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Naryn,,Number,5
2013,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Naryn,,Number,8
2014,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Naryn,,Number,2
2015,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Naryn,,Number,9
2016,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Naryn,,Number,1
2017,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Naryn,,Number,2
2007,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Naryn,Male,Number,4
2008,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Naryn,Male,Number,4
2010,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Naryn,Male,Number,4
2012,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Naryn,Male,Number,4
2013,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Naryn,Male,Number,5
2014,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Naryn,Male,Number,2
2015,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Naryn,Male,Number,6
2016,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Naryn,Male,Number,1
2017,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Naryn,Male,Number,2
2007,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Naryn,Female,Number,1
2008,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Naryn,Female,Number,2
2010,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Naryn,Female,Number,3
2012,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Naryn,Female,Number,1
2013,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Naryn,Female,Number,3
2015,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Naryn,Female,Number,3
2007,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh,,Number,6
2008,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh,,Number,96
2009,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh,,Number,2
2010,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh,,Number,19
2011,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh,,Number,11
2012,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh,,Number,22
2013,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh,,Number,5
2015,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh,,Number,10
2016,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh,,Number,1
2017,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh,,Number,35
2018,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh,,Number,1
2007,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh,Male,Number,6
2008,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh,Male,Number,50
2009,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh,Male,Number,2
2010,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh,Male,Number,12
2011,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh,Male,Number,6
2012,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh,Male,Number,16
2013,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh,Male,Number,3
2015,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh,Male,Number,7
2016,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh,Male,Number,1
2017,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh,Male,Number,17
2018,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh,Male,Number,1
2008,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh,Female,Number,46
2010,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh,Female,Number,7
2011,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh,Female,Number,5
2012,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh,Female,Number,6
2013,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh,Female,Number,2
2015,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh,Female,Number,3
2017,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh,Female,Number,18
2007,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Talas,,Number,1
2010,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Talas,,Number,4
2011,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Talas,,Number,6
2013,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Talas,,Number,5
2007,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Talas,Male,Number,1
2010,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Talas,Male,Number,3
2011,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Talas,Male,Number,4
2013,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Talas,Male,Number,4
2010,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Talas,Female,Number,1
2011,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Talas,Female,Number,2
2013,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Talas,Female,Number,1
2007,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,,Number,35
2008,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,,Number,102
2009,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,,Number,19
2010,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,,Number,46
2011,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,,Number,41
2012,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,,Number,23
2013,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,,Number,22
2014,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,,Number,13
2015,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,,Number,15
2016,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,,Number,14
2017,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,,Number,55
2018,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,,Number,10
2019,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,,Number,6
2007,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,Male,Number,28
2008,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,Male,Number,76
2009,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,Male,Number,12
2010,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,Male,Number,32
2011,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,Male,Number,30
2012,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,Male,Number,15
2013,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,Male,Number,12
2014,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,Male,Number,7
2015,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,Male,Number,8
2016,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,Male,Number,11
2017,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,Male,Number,31
2018,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,Male,Number,7
2019,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,Male,Number,2
2007,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,Female,Number,7
2008,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,Female,Number,26
2009,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,Female,Number,7
2010,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,Female,Number,14
2011,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,Female,Number,11
2012,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,Female,Number,8
2013,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,Female,Number,10
2014,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,Female,Number,6
2015,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,Female,Number,7
2016,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,Female,Number,3
2017,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,Female,Number,24
2018,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,Female,Number,3
2019,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Chui,Female,Number,4
2007,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Bishkek (city),,Number,12
2008,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Bishkek (city),,Number,1
2010,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Bishkek (city),,Number,14
2011,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Bishkek (city),,Number,19
2012,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Bishkek (city),,Number,3
2014,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Bishkek (city),,Number,2
2016,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Bishkek (city),,Number,7
2007,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Bishkek (city),Male,Number,9
2008,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Bishkek (city),Male,Number,1
2010,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Bishkek (city),Male,Number,9
2011,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Bishkek (city),Male,Number,11
2012,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Bishkek (city),Male,Number,2
2016,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Bishkek (city),Male,Number,7
2007,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Bishkek (city),Female,Number,3
2010,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Bishkek (city),Female,Number,5
2011,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Bishkek (city),Female,Number,8
2012,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Bishkek (city),Female,Number,1
2014,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Bishkek (city),Female,Number,2
2007,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh (city),,Number,7
2010,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh (city),,Number,6
2011,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh (city),,Number,4
2015,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh (city),,Number,1
2018,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh (city),,Number,1
2007,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh (city),Male,Number,5
2010,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh (city),Male,Number,4
2011,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh (city),Male,Number,2
2015,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh (city),Male,Number,1
2018,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh (city),Male,Number,1
2007,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh (city),Female,Number,2
2010,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh (city),Female,Number,2
2011,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Osh (city),Female,Number,2
