Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,DISABILITY_STATUS,UNIT_MEASURE,Value
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF15,KG,F,Y20T24,,ISCED11_4,,PT,0.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF15,KG,F,Y20T24,,ISCED11_5,,PT,0.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF15,KG,F,Y20T24,,,PWD,PT,0.3
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF15,KG,F,Y20T24,Q1,,,PT,0.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF15,KG,F,Y20T24,Q2,,,PT,0.4
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF15,KG,F,Y20T24,Q3,,,PT,0.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF15,KG,F,Y20T24,Q4,,,PT,0.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF15,KG,F,Y20T24,Q5,,,PT,1.1
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF18,KG,F,Y20T24,,,,PT,12.9
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF18,KG05,F,Y20T24,,,,PT,14.4
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF18,KG03,F,Y20T24,,,,PT,13.6
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF18,KG02,F,Y20T24,,,,PT,11.5
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF18,KG04,F,Y20T24,,,,PT,18.4
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF18,KG06,F,Y20T24,,,,PT,18.3
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF18,KG07,F,Y20T24,,,,PT,16.5
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF18,KG08,F,Y20T24,,,,PT,11.6
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF18,KG11,F,Y20T24,,,,PT,5.3
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF18,KG21,F,Y20T24,,,,PT,13.2
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF18,KG,F,Y20T24,,ISCED11_2,,PT,30.3
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF18,KG,F,Y20T24,,ISCED11_3,,PT,21.3
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF18,KG,F,Y20T24,,ISCED11_4,,PT,6.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF18,KG,F,Y20T24,,ISCED11_5,,PT,2.6
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF18,KG,F,Y20T24,,,PWD,PT,12.7
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF18,KG,F,Y20T24,Q1,,,PT,11.8
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF18,KG,F,Y20T24,Q2,,,PT,19.7
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF18,KG,F,Y20T24,Q3,,,PT,14.4
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF18,KG,F,Y20T24,Q4,,,PT,12.5
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018.",A,N,SP_DYN_MRBF18,KG,F,Y20T24,Q5,,,PT,6.4
