Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2010,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,Percent,96.8
2011,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,Percent,95.5
2012,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,Percent,97.4
2013,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,Percent,98.0
2014,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,Percent,97.6
2015,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,Percent,97.2
2016,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,Percent,96.8
2017,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,Percent,97.0
2018,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,Percent,94.8
2019,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,Percent,97.59292
2007,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,Percent,94.4
2008,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,Percent,94.5
2009,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,Percent,95.1
2010,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,Percent,95.5
2011,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,Percent,93.6
2012,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,Percent,93.0
2013,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,Percent,96.2
2014,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,Percent,98.3
2015,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,Percent,97.1
2016,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,Percent,98.5
2017,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,Percent,96.6
2018,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,Percent,95.8
2019,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh,Percent,99.33564
2007,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,Percent,94.0
2008,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,Percent,94.8
2009,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,Percent,94.6
2010,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,Percent,96.8
2011,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,Percent,95.3
2012,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,Percent,96.0
2013,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,Percent,96.2
2014,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,Percent,93.4
2015,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,Percent,96.8
2016,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,Percent,95.2
2017,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,Percent,93.1
2018,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,Percent,95.3
2019,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Talas,Percent,92.698706
2007,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,Percent,94.0
2008,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,Percent,95.5
2009,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,Percent,95.5
2010,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,Percent,96.3
2011,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,Percent,96.8
2012,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,Percent,97.6
2013,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,Percent,96.3
2014,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,Percent,96.0
2015,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,Percent,97.0
2016,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,Percent,97.5
2017,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,Percent,91.8
2018,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,Percent,92.5
2019,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Chui,Percent,91.652622
2007,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),Percent,95.0
2008,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),Percent,94.9
2009,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),Percent,95.5
2010,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),Percent,96.8
2011,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),Percent,96.4
2012,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),Percent,97.2
2013,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),Percent,96.6
2014,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),Percent,93.7
2015,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),Percent,94.0
2016,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),Percent,90.5
2017,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),Percent,86.5
2018,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),Percent,90.3
2019,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Bishkek (city),Percent,92.018905
2007,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),Percent,95.2
2008,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),Percent,96.7
2009,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),Percent,95.4
2010,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),Percent,95.7
2011,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),Percent,95.2
2012,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),Percent,98.5
2013,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),Percent,99.2
2014,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),Percent,96.0
2015,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),Percent,97.6
2016,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),Percent,96.7
2017,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),Percent,98.0
2018,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),Percent,95.2
2019,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Osh (city),Percent,95.586032
2007,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Kyrgyzstan,Percent,98.8
2008,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Kyrgyzstan,Percent,99.1
2009,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Kyrgyzstan,Percent,98.9
2010,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Kyrgyzstan,Percent,98.3
2011,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Kyrgyzstan,Percent,97.2
2012,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Kyrgyzstan,Percent,97.7
2013,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Kyrgyzstan,Percent,98.666102
2014,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Kyrgyzstan,Percent,95.6
2015,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Kyrgyzstan,Percent,99.1
2016,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Kyrgyzstan,Percent,97.0
2017,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Kyrgyzstan,Percent,94.7
2018,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Kyrgyzstan,Percent,96.244215
2019,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Kyrgyzstan,Percent,97.245414
2007,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,Percent,99.2
2008,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,Percent,99.0
2009,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,Percent,99.9
2010,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,Percent,97.2
2011,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,Percent,95.7
2012,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,Percent,100.0
2013,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,Percent,99.9
2014,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,Percent,98.9
2015,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,Percent,97.6
2016,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,Percent,99.9
2017,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,Percent,98.7
2018,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,Percent,92.454654
2019,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Batken,Percent,98.254513
2007,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,Percent,97.8
2008,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,Percent,99.2
2009,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,Percent,98.3
2010,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,Percent,98.3
2011,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,Percent,100.0
2012,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,Percent,99.0
2013,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,Percent,99.6
2014,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,Percent,91.7
2015,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,Percent,100.0
2016,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,Percent,95.7
2017,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,Percent,88.8
2018,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,Percent,93.49863
2019,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Jalal-Abad,Percent,93.035179
2007,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,Percent,99.0
2008,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,Percent,99.7
2009,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,Percent,99.7
2010,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,Percent,99.2
2011,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,Percent,96.9
2012,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,Percent,95.7
2013,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,Percent,97.4
2014,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,Percent,95.6
2015,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,Percent,98.9
2016,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,Percent,97.7
2017,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,Percent,95.1
2018,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,Percent,96.51199
2019,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Issyk-Kul,Percent,97.67698
2007,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,Percent,99.4
2008,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,Percent,99.1
2009,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,Percent,98.9
2010,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,Percent,99.5
2011,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,Percent,96.7
2012,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,Percent,97.6
2013,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,Percent,97.3
2014,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,Percent,97.7
2015,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Naryn,Percent,98.1
