Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,UNIT_MEASURE,Value
2019,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Naryn,Female,15 to 19 years old,"Per 1,000 population",20.8
2007,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Osh,Female,15 to 19 years old,"Per 1,000 population",27.1
2008,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Osh,Female,15 to 19 years old,"Per 1,000 population",27.1
2009,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Osh,Female,15 to 19 years old,"Per 1,000 population",30.4
2010,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Osh,Female,15 to 19 years old,"Per 1,000 population",33.0
2011,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Osh,Female,15 to 19 years old,"Per 1,000 population",43.2
2012,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Osh,Female,15 to 19 years old,"Per 1,000 population",44.0
2013,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Osh,Female,15 to 19 years old,"Per 1,000 population",43.4
2014,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Osh,Female,15 to 19 years old,"Per 1,000 population",45.8
2015,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Osh,Female,15 to 19 years old,"Per 1,000 population",72.3
2016,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Osh,Female,15 to 19 years old,"Per 1,000 population",41.6
2017,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Osh,Female,15 to 19 years old,"Per 1,000 population",38.5
2018,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Osh,Female,15 to 19 years old,"Per 1,000 population",35.2
2019,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Osh,Female,15 to 19 years old,"Per 1,000 population",37.9
2007,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Talas,Female,15 to 19 years old,"Per 1,000 population",39.9
2008,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Talas,Female,15 to 19 years old,"Per 1,000 population",38.9
2009,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Talas,Female,15 to 19 years old,"Per 1,000 population",46.4
2010,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Talas,Female,15 to 19 years old,"Per 1,000 population",48.5
2011,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Talas,Female,15 to 19 years old,"Per 1,000 population",59.3
2012,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Talas,Female,15 to 19 years old,"Per 1,000 population",58.8
2013,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Talas,Female,15 to 19 years old,"Per 1,000 population",61.0
2014,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Talas,Female,15 to 19 years old,"Per 1,000 population",58.2
2015,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Talas,Female,15 to 19 years old,"Per 1,000 population",36.4
2016,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Talas,Female,15 to 19 years old,"Per 1,000 population",41.9
2017,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Talas,Female,15 to 19 years old,"Per 1,000 population",34.9
2018,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Talas,Female,15 to 19 years old,"Per 1,000 population",37.1
2019,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Talas,Female,15 to 19 years old,"Per 1,000 population",34.1
2007,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Chui,Female,15 to 19 years old,"Per 1,000 population",38.4
2008,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Chui,Female,15 to 19 years old,"Per 1,000 population",40.1
2009,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Chui,Female,15 to 19 years old,"Per 1,000 population",39.3
2010,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Chui,Female,15 to 19 years old,"Per 1,000 population",44.0
2011,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Chui,Female,15 to 19 years old,"Per 1,000 population",49.1
2012,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Chui,Female,15 to 19 years old,"Per 1,000 population",50.3
2013,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Chui,Female,15 to 19 years old,"Per 1,000 population",52.0
2014,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Chui,Female,15 to 19 years old,"Per 1,000 population",50.8
2015,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Chui,Female,15 to 19 years old,"Per 1,000 population",59.7
2016,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Chui,Female,15 to 19 years old,"Per 1,000 population",47.8
2017,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Chui,Female,15 to 19 years old,"Per 1,000 population",46.4
2018,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Chui,Female,15 to 19 years old,"Per 1,000 population",52.1
2019,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Chui,Female,15 to 19 years old,"Per 1,000 population",51.0
2007,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Bishkek (city),Female,15 to 19 years old,"Per 1,000 population",25.9
2008,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Bishkek (city),Female,15 to 19 years old,"Per 1,000 population",24.8
2009,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Bishkek (city),Female,15 to 19 years old,"Per 1,000 population",17.9
2010,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Bishkek (city),Female,15 to 19 years old,"Per 1,000 population",20.4
2011,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Bishkek (city),Female,15 to 19 years old,"Per 1,000 population",25.3
2012,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Bishkek (city),Female,15 to 19 years old,"Per 1,000 population",26.0
2013,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Bishkek (city),Female,15 to 19 years old,"Per 1,000 population",26.6
2014,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Bishkek (city),Female,15 to 19 years old,"Per 1,000 population",26.5
2015,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Bishkek (city),Female,15 to 19 years old,"Per 1,000 population",22.1
2016,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Bishkek (city),Female,15 to 19 years old,"Per 1,000 population",21.4
2017,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Bishkek (city),Female,15 to 19 years old,"Per 1,000 population",17.4
2018,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Bishkek (city),Female,15 to 19 years old,"Per 1,000 population",24.3
2019,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Bishkek (city),Female,15 to 19 years old,"Per 1,000 population",28.9
2007,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Osh (city),Female,15 to 19 years old,"Per 1,000 population",24.2
2008,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Osh (city),Female,15 to 19 years old,"Per 1,000 population",26.0
2009,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Osh (city),Female,15 to 19 years old,"Per 1,000 population",23.9
2010,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Osh (city),Female,15 to 19 years old,"Per 1,000 population",27.0
2011,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Osh (city),Female,15 to 19 years old,"Per 1,000 population",36.1
2012,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Osh (city),Female,15 to 19 years old,"Per 1,000 population",43.9
2013,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Osh (city),Female,15 to 19 years old,"Per 1,000 population",46.7
2014,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Osh (city),Female,15 to 19 years old,"Per 1,000 population",54.9
2015,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Osh (city),Female,15 to 19 years old,"Per 1,000 population",52.8
2016,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Osh (city),Female,15 to 19 years old,"Per 1,000 population",52.6
2017,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Osh (city),Female,15 to 19 years old,"Per 1,000 population",51.6
2018,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Osh (city),Female,15 to 19 years old,"Per 1,000 population",65.0
2019,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Osh (city),Female,15 to 19 years old,"Per 1,000 population",77.0
