Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2018,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,"Cause: lack of the necessary documents ( birth certificates, registration)",Number,4
2005,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: for domestic reasons,Number,208
2006,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: for domestic reasons,Number,140
2007,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: for domestic reasons,Number,175
2008,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: for domestic reasons,Number,540
2009,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: for domestic reasons,Number,321
2010,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: for domestic reasons,Number,287
2011,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: for domestic reasons,Number,466
2012,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: for domestic reasons,Number,414
2013,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: for domestic reasons,Number,147
2014,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: for domestic reasons,Number,359
2015,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: for domestic reasons,Number,175
2016,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: for domestic reasons,Number,287
2017,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: for domestic reasons,Number,320
2018,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: for domestic reasons,Number,400
2019,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: for domestic reasons,Number,374
2005,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: no wishes to learn,Number,222
2006,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: no wishes to learn,Number,142
2007,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: no wishes to learn,Number,127
2008,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: no wishes to learn,Number,123
2009,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: no wishes to learn,Number,124
2010,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: no wishes to learn,Number,203
2011,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: no wishes to learn,Number,131
2012,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: no wishes to learn,Number,115
2013,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: no wishes to learn,Number,69
2014,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: no wishes to learn,Number,61
2015,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: no wishes to learn,Number,38
2016,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: no wishes to learn,Number,26
2017,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: no wishes to learn,Number,29
2018,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: no wishes to learn,Number,66
2019,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: no wishes to learn,Number,34
2005,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: troubled families,Number,87
2006,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: troubled families,Number,65
2007,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: troubled families,Number,72
2008,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: troubled families,Number,64
2009,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: troubled families,Number,15
2010,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: troubled families,Number,27
2011,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: troubled families,Number,40
2012,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: troubled families,Number,23
2013,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: troubled families,Number,14
2014,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: troubled families,Number,7
2015,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: troubled families,Number,8
2016,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: troubled families,Number,8
2017,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: troubled families,Number,9
2018,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: troubled families,Number,12
2019,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: troubled families,Number,13
2005,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: lack knowledge of language,Number,11
2006,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: lack knowledge of language,Number,9
2007,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: lack knowledge of language,Number,1
2008,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: lack knowledge of language,Number,3
2009,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: lack knowledge of language,Number,16
2010,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: lack knowledge of language,Number,9
2011,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: lack knowledge of language,Number,4
2012,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: lack knowledge of language,Number,4
2013,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: lack knowledge of language,Number,6
2018,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: lack knowledge of language,Number,0
2014,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,"Cause: married, pregnant, they became parents ( mother, father )",Number,3
2005,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: working,Number,102
2006,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: working,Number,218
2007,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: working,Number,204
2008,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: working,Number,79
2009,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: working,Number,185
2010,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: working,Number,183
2011,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: working,Number,211
2012,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: working,Number,136
2013,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: working,Number,641
2014,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: working,Number,114
2015,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: working,Number,89
2016,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: working,Number,241
2017,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: working,Number,218
2018,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: working,Number,108
2019,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: working,Number,121
2013,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: lack of transportation (school too far from home),Number,2
2014,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: lack of transportation (school too far from home),Number,3
2016,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: lack of transportation (school too far from home),Number,2
2018,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: lack of transportation (school too far from home),Number,3
2013,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",Number,19
2014,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",Number,26
2015,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",Number,98
2016,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",Number,6
2017,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",Number,2
2018,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",Number,11
2019,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",Number,17
2013,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: does not match the age of the given class,Number,2
2014,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: does not match the age of the given class,Number,5
2015,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: does not match the age of the given class,Number,0
2016,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: does not match the age of the given class,Number,1
2018,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: does not match the age of the given class,Number,20
2019,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: does not match the age of the given class,Number,6
2005,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: because of sickness ,Number,310
2006,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: because of sickness ,Number,271
2007,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: because of sickness ,Number,301
2008,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: because of sickness ,Number,153
2009,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: because of sickness ,Number,230
2010,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: because of sickness ,Number,381
2011,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: because of sickness ,Number,297
2012,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: because of sickness ,Number,271
2013,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: because of sickness ,Number,44
2014,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: because of sickness ,Number,55
2015,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: because of sickness ,Number,24
2016,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: because of sickness ,Number,39
2017,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: because of sickness ,Number,27
2018,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: because of sickness ,Number,44
2019,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: because of sickness ,Number,35
2005,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: Children with disabilities,Number,908
