Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Age,UNIT_MEASURE,Value
2010,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Issyk-Kul,under 1 month old,"Per 1,000 live births",15.933099
2011,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Issyk-Kul,under 1 month old,"Per 1,000 live births",16.267429
2012,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Issyk-Kul,under 1 month old,"Per 1,000 live births",14.75265
2013,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Issyk-Kul,under 1 month old,"Per 1,000 live births",11.261052
2014,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Issyk-Kul,under 1 month old,"Per 1,000 live births",9.306183
2015,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Issyk-Kul,under 1 month old,"Per 1,000 live births",12.182109
2016,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Issyk-Kul,under 1 month old,"Per 1,000 live births",8.420139
2017,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Issyk-Kul,under 1 month old,"Per 1,000 live births",9.423503
2018,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Issyk-Kul,under 1 month old,"Per 1,000 live births",8.5
2019,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Issyk-Kul,under 1 month old,"Per 1,000 live births",9.5
2007,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Naryn,under 1 month old,"Per 1,000 live births",17.912773
2008,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Naryn,under 1 month old,"Per 1,000 live births",16.943931
2009,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Naryn,under 1 month old,"Per 1,000 live births",14.464366
2010,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Naryn,under 1 month old,"Per 1,000 live births",12.251149
2011,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Naryn,under 1 month old,"Per 1,000 live births",10.273497
2012,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Naryn,under 1 month old,"Per 1,000 live births",12.369975
2013,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Naryn,under 1 month old,"Per 1,000 live births",11.58413
2014,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Naryn,under 1 month old,"Per 1,000 live births",12.209828
2015,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Naryn,under 1 month old,"Per 1,000 live births",8.72093
2016,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Naryn,under 1 month old,"Per 1,000 live births",11.227763
2017,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Naryn,under 1 month old,"Per 1,000 live births",9.984399
2018,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Naryn,under 1 month old,"Per 1,000 live births",8.2
2019,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Naryn,under 1 month old,"Per 1,000 live births",6.6
2007,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Osh,under 1 month old,"Per 1,000 live births",12.608002
2008,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Osh,under 1 month old,"Per 1,000 live births",13.417951
2009,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Osh,under 1 month old,"Per 1,000 live births",10.630954
2010,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Osh,under 1 month old,"Per 1,000 live births",10.695524
2011,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Osh,under 1 month old,"Per 1,000 live births",8.214286
2012,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Osh,under 1 month old,"Per 1,000 live births",6.444122
2013,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Osh,under 1 month old,"Per 1,000 live births",5.10597
2014,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Osh,under 1 month old,"Per 1,000 live births",5.045162
2015,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Osh,under 1 month old,"Per 1,000 live births",4.312545
2016,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Osh,under 1 month old,"Per 1,000 live births",3.485959
2017,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Osh,under 1 month old,"Per 1,000 live births",3.098263
2018,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Osh,under 1 month old,"Per 1,000 live births",3.4
2019,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Osh,under 1 month old,"Per 1,000 live births",2.8
2007,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Talas,under 1 month old,"Per 1,000 live births",28.86102
2008,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Talas,under 1 month old,"Per 1,000 live births",24.548244
2009,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Talas,under 1 month old,"Per 1,000 live births",25.589948
2010,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Talas,under 1 month old,"Per 1,000 live births",19.147084
2011,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Talas,under 1 month old,"Per 1,000 live births",16.905249
2012,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Talas,under 1 month old,"Per 1,000 live births",15.341309
2013,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Talas,under 1 month old,"Per 1,000 live births",19.851852
2014,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Talas,under 1 month old,"Per 1,000 live births",16.656752
2015,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Talas,under 1 month old,"Per 1,000 live births",12.700333
2016,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Talas,under 1 month old,"Per 1,000 live births",12.33604
2017,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Talas,under 1 month old,"Per 1,000 live births",12.267905
2018,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Talas,under 1 month old,"Per 1,000 live births",16.7
2019,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Talas,under 1 month old,"Per 1,000 live births",14.8
2007,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Chui,under 1 month old,"Per 1,000 live births",21.918468
2008,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Chui,under 1 month old,"Per 1,000 live births",19.965577
2009,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Chui,under 1 month old,"Per 1,000 live births",18.539076
2010,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Chui,under 1 month old,"Per 1,000 live births",16.0724
2011,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Chui,under 1 month old,"Per 1,000 live births",15.37476
2012,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Chui,under 1 month old,"Per 1,000 live births",14.294878
2013,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Chui,under 1 month old,"Per 1,000 live births",14.537283
2014,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Chui,under 1 month old,"Per 1,000 live births",13.354037
2015,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Chui,under 1 month old,"Per 1,000 live births",12.614628
2016,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Chui,under 1 month old,"Per 1,000 live births",10.407594
2017,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Chui,under 1 month old,"Per 1,000 live births",6.655345
2018,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Chui,under 1 month old,"Per 1,000 live births",6.8
2019,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Chui,under 1 month old,"Per 1,000 live births",7.6
2007,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Bishkek (city),under 1 month old,"Per 1,000 live births",31.519613
2008,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Bishkek (city),under 1 month old,"Per 1,000 live births",29.87456
2009,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Bishkek (city),under 1 month old,"Per 1,000 live births",27.261589
2010,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Bishkek (city),under 1 month old,"Per 1,000 live births",25.128553
2011,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Bishkek (city),under 1 month old,"Per 1,000 live births",24.125336
2012,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Bishkek (city),under 1 month old,"Per 1,000 live births",21.38653
2013,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Bishkek (city),under 1 month old,"Per 1,000 live births",22.854904
2014,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Bishkek (city),under 1 month old,"Per 1,000 live births",25.985737
2015,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Bishkek (city),under 1 month old,"Per 1,000 live births",23.028611
2016,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Bishkek (city),under 1 month old,"Per 1,000 live births",22.846558
2017,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Bishkek (city),under 1 month old,"Per 1,000 live births",23.162225
2018,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Bishkek (city),under 1 month old,"Per 1,000 live births",22.9
2019,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Bishkek (city),under 1 month old,"Per 1,000 live births",19.9
2007,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Osh (city),under 1 month old,"Per 1,000 live births",49.506943
2008,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Osh (city),under 1 month old,"Per 1,000 live births",42.992096
2009,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Osh (city),under 1 month old,"Per 1,000 live births",49.784765
2010,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Osh (city),under 1 month old,"Per 1,000 live births",42.06501
2011,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Osh (city),under 1 month old,"Per 1,000 live births",46.632124
2012,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Osh (city),under 1 month old,"Per 1,000 live births",53.846154
2013,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Osh (city),under 1 month old,"Per 1,000 live births",55.639098
2014,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Osh (city),under 1 month old,"Per 1,000 live births",63.961301
2015,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Osh (city),under 1 month old,"Per 1,000 live births",61.963775
2016,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Osh (city),under 1 month old,"Per 1,000 live births",50.222162
2017,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Osh (city),under 1 month old,"Per 1,000 live births",46.864858
2018,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Osh (city),under 1 month old,"Per 1,000 live births",34.2
2019,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Osh (city),under 1 month old,"Per 1,000 live births",33.0
