Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2009,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,,"Per 100,000 population",11.615832
2010,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,,"Per 100,000 population",4.57193
2011,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,,"Per 100,000 population",11.68605
2012,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,,"Per 100,000 population",8.592769
2013,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,,"Per 100,000 population",7.1
2014,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,,"Per 100,000 population",5.7
2015,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,,"Per 100,000 population",4.9
2016,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,,"Per 100,000 population",8.6
2017,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,,"Per 100,000 population",2.6
2018,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,,"Per 100,000 population",3.080721
2019,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,,"Per 100,000 population",4.894164
2007,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,Female,"Per 100,000 population",18.345435
2008,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,Female,"Per 100,000 population",17.247244
2009,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,Female,"Per 100,000 population",9.457249
2010,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,Female,"Per 100,000 population",3.253393
2011,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,Female,"Per 100,000 population",8.215202
2012,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,Female,"Per 100,000 population",6.264963
2013,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,Female,"Per 100,000 population",7.0
2014,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,Female,"Per 100,000 population",5.1
2015,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,Female,"Per 100,000 population",4.2
2016,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,Female,"Per 100,000 population",9.0
2017,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,Female,"Per 100,000 population",2.8
2018,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,Female,"Per 100,000 population",2.746401
2019,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,Female,"Per 100,000 population",2.302335
2007,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,Male,"Per 100,000 population",21.956256
2008,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,Male,"Per 100,000 population",22.68529
2009,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,Male,"Per 100,000 population",13.700569
2010,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,Male,"Per 100,000 population",5.848164
2011,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,Male,"Per 100,000 population",15.052973
2012,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,Male,"Per 100,000 population",10.850459
2013,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,Male,"Per 100,000 population",7.2
2014,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,Male,"Per 100,000 population",6.2
2015,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,Male,"Per 100,000 population",5.7
2016,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,Male,"Per 100,000 population",8.3
2017,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,Male,"Per 100,000 population",2.3
2018,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,Male,"Per 100,000 population",3.402904
2019,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,Male,"Per 100,000 population",7.389891
2007,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,,"Per 100,000 population",5.870303
2008,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,,"Per 100,000 population",6.4034
2009,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,,"Per 100,000 population",6.305723
2010,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,,"Per 100,000 population",5.922974
2011,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,,"Per 100,000 population",4.782698
2012,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,,"Per 100,000 population",8.916337
2013,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,,"Per 100,000 population",7.2
2014,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,,"Per 100,000 population",5.8
2015,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,,"Per 100,000 population",4.4
2016,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,,"Per 100,000 population",2.6
2017,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,,"Per 100,000 population",3.3
2018,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,,"Per 100,000 population",2.661109
2019,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,,"Per 100,000 population",3.179541
2007,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,Female,"Per 100,000 population",4.656511
2008,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,Female,"Per 100,000 population",4.604632
2009,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,Female,"Per 100,000 population",5.719538
2010,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,Female,"Per 100,000 population",4.08245
2011,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,Female,"Per 100,000 population",4.788933
2012,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,Female,"Per 100,000 population",7.898627
2013,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,Female,"Per 100,000 population",6.6
2014,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,Female,"Per 100,000 population",3.3
2015,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,Female,"Per 100,000 population",3.5
2016,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,Female,"Per 100,000 population",2.4
2017,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,Female,"Per 100,000 population",2.7
2018,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,Female,"Per 100,000 population",1.673357
2019,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,Female,"Per 100,000 population",2.297402
2007,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,Male,"Per 100,000 population",7.083701
2008,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,Male,"Per 100,000 population",8.200459
2009,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,Male,"Per 100,000 population",6.89089
2010,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,Male,"Per 100,000 population",7.759592
2011,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,Male,"Per 100,000 population",4.77648
2012,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,Male,"Per 100,000 population",9.930263
2013,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,Male,"Per 100,000 population",7.7
2014,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,Male,"Per 100,000 population",8.3
2015,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,Male,"Per 100,000 population",5.3
2016,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,Male,"Per 100,000 population",2.8
2017,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,Male,"Per 100,000 population",3.9
2018,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,Male,"Per 100,000 population",3.636935
2019,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Jalal-Abad,Male,"Per 100,000 population",4.050498
2007,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,,"Per 100,000 population",10.136497
2008,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,,"Per 100,000 population",7.333378
2009,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,,"Per 100,000 population",9.101396
2010,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,,"Per 100,000 population",9.25673
2011,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,,"Per 100,000 population",10.980097
2012,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,,"Per 100,000 population",8.209561
2013,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,,"Per 100,000 population",9.9
2014,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,,"Per 100,000 population",6.9
2015,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,,"Per 100,000 population",5.4
2016,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,,"Per 100,000 population",4.4
2017,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,,"Per 100,000 population",4.6
2018,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,,"Per 100,000 population",6.168093
2019,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,,"Per 100,000 population",2.231658
2007,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,Female,"Per 100,000 population",6.813722
2008,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,Female,"Per 100,000 population",5.881022
2009,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,Female,"Per 100,000 population",5.848427
2010,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,Female,"Per 100,000 population",4.917674
2011,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,Female,"Per 100,000 population",7.995523
2012,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,Female,"Per 100,000 population",7.042811
2013,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,Female,"Per 100,000 population",6.5
2014,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,Female,"Per 100,000 population",5.2
2015,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,Female,"Per 100,000 population",4.7
2016,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,Female,"Per 100,000 population",2.5
2017,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,Female,"Per 100,000 population",5.4
2018,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,Female,"Per 100,000 population",2.86608
2019,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,Female,"Per 100,000 population",2.020684
2007,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,Male,"Per 100,000 population",13.555773
2008,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,Male,"Per 100,000 population",8.824445
2009,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,Male,"Per 100,000 population",12.43031
2010,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,Male,"Per 100,000 population",13.683759
2011,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,Male,"Per 100,000 population",14.018523
2012,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,Male,"Per 100,000 population",9.395469
2013,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,Male,"Per 100,000 population",13.3
2014,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,Male,"Per 100,000 population",8.7
2015,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,Male,"Per 100,000 population",6.0
2016,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,Male,"Per 100,000 population",6.4
2017,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,Male,"Per 100,000 population",3.8
2018,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,Male,"Per 100,000 population",9.498716
2019,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Issyk-Kul,Male,"Per 100,000 population",2.44433
2007,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,,"Per 100,000 population",12.055783
2008,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,,"Per 100,000 population",7.000704
2009,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,,"Per 100,000 population",11.614177
2010,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,,"Per 100,000 population",7.669976
2011,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,,"Per 100,000 population",11.003939
2012,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,,"Per 100,000 population",6.753639
2013,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,,"Per 100,000 population",6.7
2014,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,,"Per 100,000 population",4.4
2015,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,,"Per 100,000 population",2.2
2016,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,,"Per 100,000 population",4.3
2017,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,,"Per 100,000 population",2.8
2018,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,,"Per 100,000 population",3.152773
2019,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,,"Per 100,000 population",1.734094
2007,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,Female,"Per 100,000 population",10.98996
2008,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,Female,"Per 100,000 population",7.071469
2009,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,Female,"Per 100,000 population",3.916684
2010,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,Female,"Per 100,000 population",4.66128
2011,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,Female,"Per 100,000 population",9.231337
2012,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,Female,"Per 100,000 population",5.330531
2013,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,Female,"Per 100,000 population",4.5
2014,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,Female,"Per 100,000 population",2.2
2015,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,Female,"Per 100,000 population",1.5
2016,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,Female,"Per 100,000 population",1.5
2017,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,Female,"Per 100,000 population",3.6
2018,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,Female,"Per 100,000 population",2.853067
2019,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,Female,"Per 100,000 population",1.412819
2007,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,Male,"Per 100,000 population",13.10222
2008,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,Male,"Per 100,000 population",6.931341
2009,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,Male,"Per 100,000 population",19.13568
2010,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,Male,"Per 100,000 population",10.603089
2011,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,Male,"Per 100,000 population",12.729315
2012,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,Male,"Per 100,000 population",8.135854
2013,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,Male,"Per 100,000 population",8.8
2014,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,Male,"Per 100,000 population",6.5
2015,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,Male,"Per 100,000 population",2.9
2016,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,Male,"Per 100,000 population",7.1
2017,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,Male,"Per 100,000 population",2.1
2018,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,Male,"Per 100,000 population",3.442033
2019,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Naryn,Male,"Per 100,000 population",2.043959
2007,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Osh,,"Per 100,000 population",3.797045
2008,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Osh,,"Per 100,000 population",4.117327
