Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Economic activity,UNIT_MEASURE,Value
2015,Normal value,Thousands,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,16.1
2016,Normal value,Thousands,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,15.8
2017,Normal value,Thousands,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,16.3
2018,Normal value,Thousands,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,15.8
2019,Normal value,Thousands,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,14.32
2007,Normal value,Thousands,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,Industry (total),Thousands kilowatt-hours per 1mn som,71.8
2008,Normal value,Thousands,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,Industry (total),Thousands kilowatt-hours per 1mn som,46.0
2009,Normal value,Thousands,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,Industry (total),Thousands kilowatt-hours per 1mn som,40.1
2010,Normal value,Thousands,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,Industry (total),Thousands kilowatt-hours per 1mn som,33.1
2011,Normal value,Thousands,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,Industry (total),Thousands kilowatt-hours per 1mn som,30.0
2012,Normal value,Thousands,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,Industry (total),Thousands kilowatt-hours per 1mn som,41.2
2013,Normal value,Thousands,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,Industry (total),Thousands kilowatt-hours per 1mn som,35.0
2014,Normal value,Thousands,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,Industry (total),Thousands kilowatt-hours per 1mn som,43.0
2015,Normal value,Thousands,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,Industry (total),Thousands kilowatt-hours per 1mn som,31.8
2016,Normal value,Thousands,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,Industry (total),Thousands kilowatt-hours per 1mn som,26.3
2017,Normal value,Thousands,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,Industry (total),Thousands kilowatt-hours per 1mn som,25.0
2018,Normal value,Thousands,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,Industry (total),Thousands kilowatt-hours per 1mn som,25.5
2019,Normal value,Thousands,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,Industry (total),Thousands kilowatt-hours per 1mn som,23.61
2007,Normal value,Millions,Country Data,Annual,National,Power generation at small hydroelecric plant,Kyrgyzstan,,Kilowatt-hours,158.9
2008,Normal value,Millions,Country Data,Annual,National,Power generation at small hydroelecric plant,Kyrgyzstan,,Kilowatt-hours,146.9
2009,Normal value,Millions,Country Data,Annual,National,Power generation at small hydroelecric plant,Kyrgyzstan,,Kilowatt-hours,168.8
2010,Normal value,Millions,Country Data,Annual,National,Power generation at small hydroelecric plant,Kyrgyzstan,,Kilowatt-hours,180.5
2011,Normal value,Millions,Country Data,Annual,National,Power generation at small hydroelecric plant,Kyrgyzstan,,Kilowatt-hours,174.7
2012,Normal value,Millions,Country Data,Annual,National,Power generation at small hydroelecric plant,Kyrgyzstan,,Kilowatt-hours,155.2
2013,Normal value,Millions,Country Data,Annual,National,Power generation at small hydroelecric plant,Kyrgyzstan,,Kilowatt-hours,160.3
2014,Normal value,Millions,Country Data,Annual,National,Power generation at small hydroelecric plant,Kyrgyzstan,,Kilowatt-hours,130.9
2015,Normal value,Millions,Country Data,Annual,National,Power generation at small hydroelecric plant,Kyrgyzstan,,Kilowatt-hours,207.6
2016,Normal value,Millions,Country Data,Annual,National,Power generation at small hydroelecric plant,Kyrgyzstan,,Kilowatt-hours,248.3
2017,Normal value,Millions,Country Data,Annual,National,Power generation at small hydroelecric plant,Kyrgyzstan,,Kilowatt-hours,260.3
2018,Normal value,Millions,Country Data,Annual,National,Power generation at small hydroelecric plant,Kyrgyzstan,,Kilowatt-hours,202.9
2019,Normal value,Millions,Country Data,Annual,National,Power generation at small hydroelecric plant,Kyrgyzstan,,Kilowatt-hours,200.5
