Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Value
2017,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Batken,,,,Percent,66.0
2018,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Batken,,,,Percent,64.8
2019,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Batken,,,,Percent,63.5
2016,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Jalal-Abad,,,,Percent,59.6
2017,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Jalal-Abad,,,,Percent,61.5
2018,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Jalal-Abad,,,,Percent,53.8
2019,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Jalal-Abad,,,,Percent,50.4
2016,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Issyk-Kul,,,,Percent,45.2
2017,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Issyk-Kul,,,,Percent,47.0
2018,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Issyk-Kul,,,,Percent,42.7
2019,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Issyk-Kul,,,,Percent,46.3
2016,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Naryn,,,,Percent,58.3
2017,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Naryn,,,,Percent,50.0
2018,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Naryn,,,,Percent,48.5
2019,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Naryn,,,,Percent,47.8
2016,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Osh,,,,Percent,57.5
2017,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Osh,,,,Percent,52.1
2018,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Osh,,,,Percent,58.5
2019,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Osh,,,,Percent,45.8
2016,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Talas,,,,Percent,49.8
2017,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Talas,,,,Percent,39.8
2018,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Talas,,,,Percent,43.0
2019,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Talas,,,,Percent,40.2
2016,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Chui,,,,Percent,45.4
2017,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Chui,,,,Percent,48.7
2018,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Chui,,,,Percent,28.0
2019,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Chui,,,,Percent,31.7
2016,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Bishkek (city),,,,Percent,26.8
2017,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Bishkek (city),,,,Percent,29.9
2018,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Bishkek (city),,,,Percent,25.4
2019,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Bishkek (city),,,,Percent,22.2
2016,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Osh (city),,,,Percent,47.3
2017,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Osh (city),,,,Percent,58.6
2018,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Osh (city),,,,Percent,51.3
2019,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Osh (city),,,,Percent,45.9
