Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2012,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Issyk-Kul,Local currency,40.4
2013,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Issyk-Kul,Local currency,75.2
2014,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Issyk-Kul,Local currency,356.3
2015,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Issyk-Kul,Local currency,7.7
2016,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Issyk-Kul,Local currency,102.7
2017,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Issyk-Kul,Local currency,84.2
2018,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Issyk-Kul,Local currency,74.2
2019,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Issyk-Kul,Local currency,11.1
2007,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Naryn,Local currency,0.6
2008,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Naryn,Local currency,2.8
2009,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Naryn,Local currency,0.6
2010,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Naryn,Local currency,120.1
2011,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Naryn,Local currency,121.0
2012,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Naryn,Local currency,141.3
2013,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Naryn,Local currency,72.2
2014,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Naryn,Local currency,4.3
2015,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Naryn,Local currency,27.8
2016,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Naryn,Local currency,22.3
2017,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Naryn,Local currency,12.8
2018,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Naryn,Local currency,1.4
2007,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Osh,Local currency,6.3
2008,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Osh,Local currency,1024.9
2009,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Osh,Local currency,10.9
2010,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Osh,Local currency,40.5
2011,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Osh,Local currency,105.0
2012,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Osh,Local currency,48.1
2013,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Osh,Local currency,2.9
2014,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Osh,Local currency,1.1
2015,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Osh,Local currency,1364.2
2016,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Osh,Local currency,16.2
2017,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Osh,Local currency,261.8
2018,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Osh,Local currency,12.4
2019,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Osh,Local currency,2.6
2007,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Talas,Local currency,12.3
2008,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Talas,Local currency,4.4
2009,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Talas,Local currency,24.5
2010,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Talas,Local currency,22.0
2011,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Talas,Local currency,3.0
2012,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Talas,Local currency,49.0
2013,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Talas,Local currency,6.6
2014,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Talas,Local currency,1.1
2015,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Talas,Local currency,8.9
2016,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Talas,Local currency,76.1
2017,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Talas,Local currency,14.7
2018,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Talas,Local currency,0.7
2007,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Chui,Local currency,8.4
2010,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Chui,Local currency,1.7
2011,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Chui,Local currency,5.6
2012,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Chui,Local currency,1.7
2013,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Chui,Local currency,14.1
2014,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Chui,Local currency,20.0
2015,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Chui,Local currency,24.4
2016,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Chui,Local currency,93.2
2017,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Chui,Local currency,207.5
2018,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Chui,Local currency,6.1
2019,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Chui,Local currency,2.0
2007,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Bishkek (city),Local currency,32.2
2008,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Bishkek (city),Local currency,41.5
2013,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Bishkek (city),Local currency,0.7
2015,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Bishkek (city),Local currency,44.7
2016,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Bishkek (city),Local currency,86.8
2017,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Bishkek (city),Local currency,129.8
2018,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Bishkek (city),Local currency,856.9
2019,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Bishkek (city),Local currency,116.0
2007,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Osh (city),Local currency,0.7
2008,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Osh (city),Local currency,0.2
2012,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Osh (city),Local currency,1.1
2013,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Osh (city),Local currency,6.3
2015,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Osh (city),Local currency,139.1
2016,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Osh (city),Local currency,0.3
2017,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Osh (city),Local currency,61.5
2019,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Osh (city),Local currency,0.4
