Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",237.8
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",243.1
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",425.5
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",400.8
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",378.8
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",391.1
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",360.5
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",394.9
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",385.8
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",363.0
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",361.0
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",328.7
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",325.9
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",302.0
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Issyk-Kul,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",302.9
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",338.0
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",314.3
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",289.6
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",301.1
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",326.3
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",318.2
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",327.4
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",317.6
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",310.0
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",312.8
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",302.7
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",308.0
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Naryn,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",317.0
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",256.5
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",263.2
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",278.7
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",285.1
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",275.2
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",281.6
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",264.4
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",273.0
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",265.7
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",239.0
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",240.8
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",229.3
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",230.8
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",361.0
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",353.3
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",363.8
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",333.8
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",345.0
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",342.5
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",309.8
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",332.7
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",322.5
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",288.7
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",301.9
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",261.5
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Talas,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",299.9
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",562.2
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",553.3
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",479.6
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",484.0
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",467.0
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",466.9
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",441.6
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",430.2
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",400.8
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",381.3
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",377.7
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",377.1
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Chui,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",360.8
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Cardiovascular disease,"Per 100,000 population",368.8
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Cardiovascular disease,"Per 100,000 population",337.4
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Cardiovascular disease,"Per 100,000 population",303.9
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Cardiovascular disease,"Per 100,000 population",298.3
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Cardiovascular disease,"Per 100,000 population",305.4
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Cardiovascular disease,"Per 100,000 population",297.0
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Cardiovascular disease,"Per 100,000 population",269.6
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Cardiovascular disease,"Per 100,000 population",272.6
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Cardiovascular disease,"Per 100,000 population",253.2
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Cardiovascular disease,"Per 100,000 population",242.5
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Cardiovascular disease,"Per 100,000 population",242.4
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Cardiovascular disease,"Per 100,000 population",232.8
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Bishkek (city),Non-communicable disease: Cardiovascular disease,"Per 100,000 population",237.4
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Cardiovascular disease,"Per 100,000 population",248.9
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Cardiovascular disease,"Per 100,000 population",290.1
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Cardiovascular disease,"Per 100,000 population",273.8
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Cardiovascular disease,"Per 100,000 population",268.0
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Cardiovascular disease,"Per 100,000 population",281.9
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Cardiovascular disease,"Per 100,000 population",298.7
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Cardiovascular disease,"Per 100,000 population",266.8
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Cardiovascular disease,"Per 100,000 population",270.1
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Cardiovascular disease,"Per 100,000 population",253.5
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Cardiovascular disease,"Per 100,000 population",248.9
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Cardiovascular disease,"Per 100,000 population",240.4
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Cardiovascular disease,"Per 100,000 population",223.4
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Osh (city),Non-communicable disease: Cardiovascular disease,"Per 100,000 population",208.8
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Cancer,"Per 100,000 population",57.1
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Cancer,"Per 100,000 population",58.2
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Cancer,"Per 100,000 population",60.7
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Cancer,"Per 100,000 population",59.4
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Cancer,"Per 100,000 population",61.3
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Cancer,"Per 100,000 population",59.4
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Cancer,"Per 100,000 population",61.0
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Cancer,"Per 100,000 population",64.3
