Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,Disability status,UNIT_MEASURE,Value
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Bishkek (city),Female,15 to 49 years old,,,,,Percent,8.7
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Osh (city),Female,15 to 49 years old,,,,,Percent,7.0
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Kyrgyzstan,Female,15 to 19 years old,,,,,Percent,6.5
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Kyrgyzstan,Female,15 to 17 years old,,,,,Percent,5.7
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Kyrgyzstan,Female,18 to 19 years old,,,,,Percent,8.3
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Kyrgyzstan,Female,20 to 24 years old,,,,,Percent,9.1
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Kyrgyzstan,Female,25 to 29 years old,,,,,Percent,7.1
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Kyrgyzstan,Female,30 to 34 years old,,,,,Percent,8.8
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Kyrgyzstan,Female,35 to 39 years old,,,,,Percent,8.7
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Kyrgyzstan,Female,40 to 44 years old,,,,,Percent,6.4
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Kyrgyzstan,Female,45 to 49 years old,,,,,Percent,7.0
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Kyrgyzstan,Female,15 to 49 years old,,,Primary education,,Percent,14.0
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Kyrgyzstan,Female,15 to 49 years old,,,Lower secondary education,,Percent,5.9
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Kyrgyzstan,Female,15 to 49 years old,,,Upper secondary education,,Percent,6.9
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Kyrgyzstan,Female,15 to 49 years old,,,Post-secondary non-tertiary education,,Percent,8.2
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Kyrgyzstan,Female,18 to 49 years old,,,,Persons with disability,Percent,20.7
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Kyrgyzstan,Female,18 to 49 years old,,,,Persons without disability,Percent,7.6
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Kyrgyzstan,Female,15 to 49 years old,,Quintile 1 (poorest),,,Percent,6.0
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Kyrgyzstan,Female,15 to 49 years old,,Quintile 2,,,Percent,6.7
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Kyrgyzstan,Female,15 to 49 years old,,Quintile 3,,,Percent,9.7
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Kyrgyzstan,Female,15 to 49 years old,,Quintile 4,,,Percent,7.1
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Kyrgyzstan,Female,15 to 49 years old,,Quintile 5 (richest),,,Percent,8.8
