Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2016,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Naryn,Index,19.923049
2017,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Naryn,Index,28.473393
2018,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Naryn,Index,30.739784
2019,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Naryn,Index,47.289369
2015,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Osh,Index,34.255749
2016,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Osh,Index,30.917948
2017,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Osh,Index,32.665922
2018,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Osh,Index,27.856595
2019,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Osh,Index,37.990784
2015,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Talas,Index,36.443189
2016,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Talas,Index,34.131511
2017,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Talas,Index,31.207421
2018,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Talas,Index,34.060446
2019,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Talas,Index,29.962169
2015,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Chui,Index,31.422096
2016,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Chui,Index,25.580014
2017,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Chui,Index,38.456746
2018,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Chui,Index,35.486614
2019,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Chui,Index,23.647168
2015,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Bishkek (city),Index,9.584576
2016,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Bishkek (city),Index,12.583671
2017,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Bishkek (city),Index,16.3
2018,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Bishkek (city),Index,12.865469
2019,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Bishkek (city),Index,16.50586
2015,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Osh (city),Index,16.932905
2016,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Osh (city),Index,40.826476
2017,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Osh (city),Index,42.862634
2018,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Osh (city),Index,38.281575
2019,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Osh (city),Index,31.381882
