Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,Economic activity,UNIT_MEASURE,Value
2014,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,20 to 29 years old,,,"Per 1,000 population",516.5
2015,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,20 to 29 years old,,,"Per 1,000 population",516.1
2016,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,20 to 29 years old,,,"Per 1,000 population",518.7
2017,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,20 to 29 years old,,,"Per 1,000 population",499.3
2018,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,20 to 29 years old,,,"Per 1,000 population",500.7
2019,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,20 to 29 years old,,,"Per 1,000 population",503.5
2007,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,30 to 39 years old,,,"Per 1,000 population",408.9
2008,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,30 to 39 years old,,,"Per 1,000 population",416.3
2009,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,30 to 39 years old,,,"Per 1,000 population",408.1
2010,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,30 to 39 years old,,,"Per 1,000 population",406.5
2011,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,30 to 39 years old,,,"Per 1,000 population",403.8
2012,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,30 to 39 years old,,,"Per 1,000 population",397.8
2013,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,30 to 39 years old,,,"Per 1,000 population",411.3
2014,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,30 to 39 years old,,,"Per 1,000 population",437.4
2015,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,30 to 39 years old,,,"Per 1,000 population",449.1
2016,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,30 to 39 years old,,,"Per 1,000 population",446.8
2017,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,30 to 39 years old,,,"Per 1,000 population",447.3
2018,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,30 to 39 years old,,,"Per 1,000 population",463.0
2019,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,30 to 39 years old,,,"Per 1,000 population",487.0
2007,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,40 to 49 years old,,,"Per 1,000 population",328.7
2008,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,40 to 49 years old,,,"Per 1,000 population",335.8
2009,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,40 to 49 years old,,,"Per 1,000 population",343.1
2010,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,40 to 49 years old,,,"Per 1,000 population",336.4
2011,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,40 to 49 years old,,,"Per 1,000 population",341.3
2012,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,40 to 49 years old,,,"Per 1,000 population",356.0
2013,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,40 to 49 years old,,,"Per 1,000 population",348.4
2014,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,40 to 49 years old,,,"Per 1,000 population",352.0
2015,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,40 to 49 years old,,,"Per 1,000 population",361.7
2016,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,40 to 49 years old,,,"Per 1,000 population",371.4
2017,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,40 to 49 years old,,,"Per 1,000 population",344.5
2018,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,40 to 49 years old,,,"Per 1,000 population",367.3
2019,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,40 to 49 years old,,,"Per 1,000 population",373.4
2007,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,50 to 59 years old,,,"Per 1,000 population",149.3
2008,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,50 to 59 years old,,,"Per 1,000 population",154.0
2009,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,50 to 59 years old,,,"Per 1,000 population",168.4
2010,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,50 to 59 years old,,,"Per 1,000 population",174.3
2011,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,50 to 59 years old,,,"Per 1,000 population",187.7
2012,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,50 to 59 years old,,,"Per 1,000 population",194.5
2013,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,50 to 59 years old,,,"Per 1,000 population",181.4
2014,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,50 to 59 years old,,,"Per 1,000 population",197.0
2015,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,50 to 59 years old,,,"Per 1,000 population",207.4
2016,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,50 to 59 years old,,,"Per 1,000 population",209.4
2017,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,50 to 59 years old,,,"Per 1,000 population",204.3
2018,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,50 to 59 years old,,,"Per 1,000 population",222.7
2019,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,50 to 59 years old,,,"Per 1,000 population",240.8
2007,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,65 to 69 years old,,,"Per 1,000 population",26.0
2008,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,65 to 69 years old,,,"Per 1,000 population",29.0
2009,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,65 to 69 years old,,,"Per 1,000 population",29.7
2010,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,65 to 69 years old,,,"Per 1,000 population",32.3
2011,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,65 to 69 years old,,,"Per 1,000 population",36.5
2012,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,65 to 69 years old,,,"Per 1,000 population",38.0
2013,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,65 to 69 years old,,,"Per 1,000 population",31.5
2014,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,65 to 69 years old,,,"Per 1,000 population",35.3
2015,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,65 to 69 years old,,,"Per 1,000 population",43.5
2016,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,65 to 69 years old,,,"Per 1,000 population",45.4
2017,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,65 to 69 years old,,,"Per 1,000 population",40.5
2018,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,65 to 69 years old,,,"Per 1,000 population",52.6
2019,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,65 to 69 years old,,,"Per 1,000 population",66.3
2007,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,70 years old and over,,,"Per 1,000 population",8.5
2008,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,70 years old and over,,,"Per 1,000 population",8.7
2009,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,70 years old and over,,,"Per 1,000 population",11.8
2010,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,70 years old and over,,,"Per 1,000 population",10.4
2011,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,70 years old and over,,,"Per 1,000 population",11.1
2012,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,70 years old and over,,,"Per 1,000 population",10.1
2013,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,70 years old and over,,,"Per 1,000 population",7.5
2014,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,70 years old and over,,,"Per 1,000 population",6.9
2015,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,70 years old and over,,,"Per 1,000 population",7.0
2016,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,70 years old and over,,,"Per 1,000 population",6.3
2017,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,70 years old and over,,,"Per 1,000 population",4.3
2018,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,70 years old and over,,,"Per 1,000 population",4.1
2019,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,70 years old and over,,,"Per 1,000 population",7.9
2007,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,Urban,,"Per 1,000 population",396.7
2008,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,Urban,,"Per 1,000 population",421.9
2009,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,Urban,,"Per 1,000 population",431.7
2010,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,Urban,,"Per 1,000 population",414.4
2011,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,Urban,,"Per 1,000 population",419.3
2012,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,Urban,,"Per 1,000 population",408.0
2013,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,Urban,,"Per 1,000 population",418.6
2014,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,Urban,,"Per 1,000 population",433.7
2015,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,Urban,,"Per 1,000 population",460.0
2016,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,Urban,,"Per 1,000 population",489.0
2017,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,Urban,,"Per 1,000 population",526.3
2018,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,Urban,,"Per 1,000 population",541.6
2019,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,Urban,,"Per 1,000 population",572.0
2007,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,Rural,,"Per 1,000 population",1118.1
2008,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,Rural,,"Per 1,000 population",1137.7
2009,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,Rural,,"Per 1,000 population",1161.2
2010,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,Rural,,"Per 1,000 population",1175.2
2011,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,Rural,,"Per 1,000 population",1184.6
2012,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,Rural,,"Per 1,000 population",1194.8
2013,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,Rural,,"Per 1,000 population",1210.5
2014,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,Rural,,"Per 1,000 population",1219.3
2015,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,Rural,,"Per 1,000 population",1226.5
2016,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,Rural,,"Per 1,000 population",1194.0
2017,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,Rural,,"Per 1,000 population",1085.0
2018,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,Rural,,"Per 1,000 population",1145.3
2019,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,Rural,,"Per 1,000 population",1182.2
2007,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,"Agriculture, forestry and fishing","Per 1,000 population",755.3
2008,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,"Agriculture, forestry and fishing","Per 1,000 population",767.0
2009,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,"Agriculture, forestry and fishing","Per 1,000 population",740.5
2010,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,"Agriculture, forestry and fishing","Per 1,000 population",720.7
2011,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,"Agriculture, forestry and fishing","Per 1,000 population",719.4
2012,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,"Agriculture, forestry and fishing","Per 1,000 population",711.4
2013,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,"Agriculture, forestry and fishing","Per 1,000 population",731.6
2014,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,"Agriculture, forestry and fishing","Per 1,000 population",749.0
2015,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,"Agriculture, forestry and fishing","Per 1,000 population",710.1
2016,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,"Agriculture, forestry and fishing","Per 1,000 population",656.5
2017,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,"Agriculture, forestry and fishing","Per 1,000 population",497.7
2018,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,"Agriculture, forestry and fishing","Per 1,000 population",463.0
2019,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,"Agriculture, forestry and fishing","Per 1,000 population",444.5
2007,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Industry (total),"Per 1,000 population",106.6
2008,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Industry (total),"Per 1,000 population",110.4
2009,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Industry (total),"Per 1,000 population",114.7
2010,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Industry (total),"Per 1,000 population",114.0
2011,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Industry (total),"Per 1,000 population",111.3
2012,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Industry (total),"Per 1,000 population",115.3
2013,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Industry (total),"Per 1,000 population",102.2
2014,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Industry (total),"Per 1,000 population",108.5
2015,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Industry (total),"Per 1,000 population",117.7
2016,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Industry (total),"Per 1,000 population",117.1
2017,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Industry (total),"Per 1,000 population",160.5
2018,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Industry (total),"Per 1,000 population",225.0
2019,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Industry (total),"Per 1,000 population",237.8
2007,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Construction,"Per 1,000 population",172.5
2008,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Construction,"Per 1,000 population",180.9
2009,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Construction,"Per 1,000 population",204.7
2010,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Construction,"Per 1,000 population",197.7
2011,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Construction,"Per 1,000 population",204.9
2012,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Construction,"Per 1,000 population",222.4
2013,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,Construction,"Per 1,000 population",210.0
