Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2017,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Naryn,Male,"Per 100,000 population",2.1
2018,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Naryn,Male,"Per 100,000 population",0.7
2019,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Naryn,Male,"Per 100,000 population",0.7
2010,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh,,"Per 100,000 population",1.6
2013,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh,,"Per 100,000 population",2.3
2014,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh,,"Per 100,000 population",0.8
2015,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh,,"Per 100,000 population",1.8
2016,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh,,"Per 100,000 population",0.9
2017,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh,,"Per 100,000 population",0.5
2018,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh,,"Per 100,000 population",2.6
2019,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh,,"Per 100,000 population",0.4
2014,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh,Female,"Per 100,000 population",0.2
2018,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh,Female,"Per 100,000 population",0.0
2019,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh,Female,"Per 100,000 population",0.0
2010,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh,Male,"Per 100,000 population",3.2
2013,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh,Male,"Per 100,000 population",4.5
2014,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh,Male,"Per 100,000 population",1.5
2015,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh,Male,"Per 100,000 population",3.5
2016,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh,Male,"Per 100,000 population",1.9
2017,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh,Male,"Per 100,000 population",0.9
2018,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh,Male,"Per 100,000 population",5.2
2019,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh,Male,"Per 100,000 population",0.7
2010,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Talas,,"Per 100,000 population",6.9
2013,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Talas,,"Per 100,000 population",3.3
2014,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Talas,,"Per 100,000 population",4.1
2015,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Talas,,"Per 100,000 population",7.2
2016,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Talas,,"Per 100,000 population",2.0
2017,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Talas,,"Per 100,000 population",1.6
2018,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Talas,,"Per 100,000 population",1.9
2019,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Talas,,"Per 100,000 population",4.9
2010,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Talas,Female,"Per 100,000 population",0.9
2014,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Talas,Female,"Per 100,000 population",0.8
2018,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Talas,Female,"Per 100,000 population",0.0
2019,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Talas,Female,"Per 100,000 population",0.0
2010,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Talas,Male,"Per 100,000 population",13.0
2013,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Talas,Male,"Per 100,000 population",6.6
2014,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Talas,Male,"Per 100,000 population",7.3
2015,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Talas,Male,"Per 100,000 population",14.3
2016,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Talas,Male,"Per 100,000 population",3.9
2017,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Talas,Male,"Per 100,000 population",3.1
2018,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Talas,Male,"Per 100,000 population",3.8
2019,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Talas,Male,"Per 100,000 population",9.7
2010,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Chui,,"Per 100,000 population",31.8
2013,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Chui,,"Per 100,000 population",20.4
2014,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Chui,,"Per 100,000 population",15.2
2015,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Chui,,"Per 100,000 population",12.3
2016,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Chui,,"Per 100,000 population",17.3
2017,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Chui,,"Per 100,000 population",11.3
2018,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Chui,,"Per 100,000 population",6.4
2019,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Chui,,"Per 100,000 population",5.8
2010,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Chui,Female,"Per 100,000 population",2.7
2013,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Chui,Female,"Per 100,000 population",0.5
2014,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Chui,Female,"Per 100,000 population",0.9
2015,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Chui,Female,"Per 100,000 population",1.6
2016,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Chui,Female,"Per 100,000 population",2.0
2017,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Chui,Female,"Per 100,000 population",0.4
2018,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Chui,Female,"Per 100,000 population",0.8
2019,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Chui,Female,"Per 100,000 population",0.4
2010,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Chui,Male,"Per 100,000 population",61.9
2013,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Chui,Male,"Per 100,000 population",41.1
2014,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Chui,Male,"Per 100,000 population",29.9
2015,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Chui,Male,"Per 100,000 population",23.3
2016,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Chui,Male,"Per 100,000 population",33.1
2017,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Chui,Male,"Per 100,000 population",22.5
2018,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Chui,Male,"Per 100,000 population",12.2
2019,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Chui,Male,"Per 100,000 population",11.3
2010,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Bishkek (city),,"Per 100,000 population",37.2
2013,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Bishkek (city),,"Per 100,000 population",22.1
2014,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Bishkek (city),,"Per 100,000 population",23.3
2015,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Bishkek (city),,"Per 100,000 population",16.0
2016,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Bishkek (city),,"Per 100,000 population",20.7
2017,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Bishkek (city),,"Per 100,000 population",9.1
2018,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Bishkek (city),,"Per 100,000 population",13.2
2019,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Bishkek (city),,"Per 100,000 population",6.4
2010,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Bishkek (city),Female,"Per 100,000 population",6.6
2013,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Bishkek (city),Female,"Per 100,000 population",2.1
2014,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Bishkek (city),Female,"Per 100,000 population",4.6
2015,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Bishkek (city),Female,"Per 100,000 population",0.8
2016,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Bishkek (city),Female,"Per 100,000 population",1.2
2017,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Bishkek (city),Female,"Per 100,000 population",0.9
2018,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Bishkek (city),Female,"Per 100,000 population",0.9
2019,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Bishkek (city),Female,"Per 100,000 population",0.0
2010,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Bishkek (city),Male,"Per 100,000 population",72.5
2013,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Bishkek (city),Male,"Per 100,000 population",45.1
2014,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Bishkek (city),Male,"Per 100,000 population",44.7
2015,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Bishkek (city),Male,"Per 100,000 population",33.5
2016,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Bishkek (city),Male,"Per 100,000 population",43.0
2017,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Bishkek (city),Male,"Per 100,000 population",18.3
2018,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Bishkek (city),Male,"Per 100,000 population",27.2
2019,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Bishkek (city),Male,"Per 100,000 population",13.7
2010,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh (city),,"Per 100,000 population",15.5
2013,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh (city),,"Per 100,000 population",5.3
2014,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh (city),,"Per 100,000 population",6.7
2015,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh (city),,"Per 100,000 population",16.8
2016,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh (city),,"Per 100,000 population",13.3
2017,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh (city),,"Per 100,000 population",2.8
2018,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh (city),,"Per 100,000 population",9.9
2019,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh (city),,"Per 100,000 population",2.9
2010,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh (city),Female,"Per 100,000 population",1.5
2013,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh (city),Female,"Per 100,000 population",0.7
2015,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh (city),Female,"Per 100,000 population",0.7
2018,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh (city),Female,"Per 100,000 population",2.0
2019,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh (city),Female,"Per 100,000 population",0.6
2010,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh (city),Male,"Per 100,000 population",30.8
2013,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh (city),Male,"Per 100,000 population",10.3
2014,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh (city),Male,"Per 100,000 population",14.0
2015,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh (city),Male,"Per 100,000 population",34.2
2016,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh (city),Male,"Per 100,000 population",27.5
2017,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh (city),Male,"Per 100,000 population",5.8
2018,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh (city),Male,"Per 100,000 population",18.3
2019,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Osh (city),Male,"Per 100,000 population",5.4
