Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,UNIT_MEASURE,Value
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Batken,,15 years old and over,,,,Percent,43.5
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Batken,,15 years old and over,,,,Percent,58.0
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Jalal-Abad,,15 years old and over,,,,Percent,55.3
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Jalal-Abad,,15 years old and over,,,,Percent,48.5
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Issyk-Kul,,15 years old and over,,,,Percent,54.2
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Issyk-Kul,,15 years old and over,,,,Percent,59.7
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Naryn,,15 years old and over,,,,Percent,40.7
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Naryn,,15 years old and over,,,,Percent,57.0
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Osh,,15 years old and over,,,,Percent,75.6
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Osh,,15 years old and over,,,,Percent,67.9
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Talas,,15 years old and over,,,,Percent,63.9
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Talas,,15 years old and over,,,,Percent,58.3
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Chui,,15 years old and over,,,,Percent,65.8
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Chui,,15 years old and over,,,,Percent,68.1
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Bishkek (city),,15 years old and over,,,,Percent,69.7
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Bishkek (city),,15 years old and over,,,,Percent,80.4
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Osh (city),,15 years old and over,,,,Percent,68.5
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Osh (city),,15 years old and over,,,,Percent,67.2
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,,15 to 28 years old,,,,Percent,82.1
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,,15 to 28 years old,,,,Percent,84.7
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,Percent,63.1
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,Percent,66.2
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,Percent,25.9
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,Percent,21.3
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,,15 years old and over,,,Primary education,Percent,47.9
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,,15 years old and over,,,Primary education,Percent,48.2
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,,15 years old and over,,,Lower secondary education,Percent,69.5
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,,15 years old and over,,,Lower secondary education,Percent,66.9
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,,15 years old and over,,,Upper secondary education,Percent,56.1
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,,15 years old and over,,,Upper secondary education,Percent,57.5
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,,15 years old and over,,,Post-secondary non-tertiary education,Percent,61.9
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,,15 years old and over,,,Post-secondary non-tertiary education,Percent,64.2
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,,15 years old and over,,,Tertiary education (Bachelor’s and Master's or equivalent),Percent,81.1
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,,15 years old and over,,,Tertiary education (Bachelor’s and Master's or equivalent),Percent,83.9
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,,15 years old and over,,Quintile 1 (poorest),,Percent,48.0
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,,15 years old and over,,Quintile 1 (poorest),,Percent,51.4
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,,15 years old and over,,Quintile 2,,Percent,59.8
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,,15 years old and over,,Quintile 2,,Percent,63.9
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,,15 years old and over,,Quintile 3,,Percent,64.8
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,,15 years old and over,,Quintile 3,,Percent,64.5
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,,15 years old and over,,Quintile 4,,Percent,67.1
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,,15 years old and over,,Quintile 4,,Percent,69.1
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,,15 years old and over,,Quintile 5 (richest),,Percent,69.5
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,,15 years old and over,,Quintile 5 (richest),,Percent,67.9
