Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2018,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Batken,,Percent,14.249886
2019,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Batken,,Percent,16.981773
2010,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Batken,Female,Percent,8.934954
2012,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Batken,Female,Percent,14.155283
2016,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Batken,Female,Percent,5.608525
2007,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Batken,Male,Percent,21.335609
2008,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Batken,Male,Percent,93.471383
2009,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Batken,Male,Percent,49.829748
2010,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Batken,Male,Percent,112.707805
2011,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Batken,Male,Percent,86.672445
2012,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Batken,Male,Percent,74.059113
2013,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Batken,Male,Percent,76.587722
2014,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Batken,Male,Percent,131.373162
2015,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Batken,Male,Percent,12.854297
2016,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Batken,Male,Percent,18.796992
2017,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Batken,Male,Percent,37.225462
2018,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Batken,Male,Percent,32.427524
2019,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Batken,Male,Percent,38.444288
2007,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,Percent,57.34356
2008,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,Percent,34.763683
2009,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,Percent,46.934978
2010,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,Percent,41.29774
2011,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,Percent,34.63367
2012,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,Percent,32.200193
2013,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,Percent,35.998247
2014,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,Percent,22.677108
2015,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,Percent,20.82061
2016,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,Percent,26.515574
2017,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,Percent,14.554885
2018,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,Percent,46.09873
2019,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,,Percent,14.31397
2007,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,Percent,13.387777
2008,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,Percent,2.896032
2009,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,Percent,6.402868
2010,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,Percent,3.165859
2012,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,Percent,5.598477
2013,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,Percent,2.833263
2014,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,Percent,5.61782
2015,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,Percent,2.531197
2016,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,Percent,10.194459
2017,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,Percent,2.431907
2018,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,Percent,10.021295
2019,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Female,Percent,12.497813
2007,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,Percent,107.999691
2008,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,Percent,69.552022
2009,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,Percent,91.481651
2010,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,Percent,82.904418
2011,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,Percent,75.539074
2012,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,Percent,64.422066
2013,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,Percent,76.931147
2014,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,Percent,42.560157
2015,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,Percent,43.027937
2016,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,Percent,46.269163
2017,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,Percent,29.022521
2018,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,Percent,86.089589
2019,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Jalal-Abad,Male,Percent,16.286203
2007,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,Percent,21.018891
2008,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,Percent,31.755273
2009,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,Percent,19.005213
2010,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,Percent,67.94721
2011,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,Percent,31.154266
2012,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,Percent,24.58479
2013,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,Percent,44.681578
2014,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,Percent,29.214916
2015,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,Percent,51.98586
2016,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,Percent,44.752152
2017,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,Percent,18.566162
2018,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,Percent,10.143788
2019,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,,Percent,7.904722
2007,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Female,Percent,15.759613
2008,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Female,Percent,5.282341
2010,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Female,Percent,10.077598
2011,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Female,Percent,5.041339
2012,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Female,Percent,10.163635
2013,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Female,Percent,10.07709
2014,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Female,Percent,5.059449
2015,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Female,Percent,9.607071
2016,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Female,Percent,19.536974
2017,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Female,Percent,14.912019
2019,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Female,Percent,4.837695
2007,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,Percent,26.281209
2008,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,Percent,58.330682
2009,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,Percent,36.972482
2010,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,Percent,130.300233
2011,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,Percent,58.880206
2012,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,Percent,41.346722
2013,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,Percent,82.417582
2014,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,Percent,55.906524
2015,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,Percent,101.959896
2016,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,Percent,74.230572
2017,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,Percent,22.746659
2018,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,Percent,22.373867
2019,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Issyk-Kul,Male,Percent,11.573404
2007,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Naryn,,Percent,17.955739
2008,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Naryn,,Percent,26.688017
2009,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Naryn,,Percent,4.326569
2010,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Naryn,,Percent,30.101054
2011,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Naryn,,Percent,12.66464
2012,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Naryn,,Percent,24.857072
2013,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Naryn,,Percent,8.224022
2014,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Naryn,,Percent,12.259409
2015,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Naryn,,Percent,3.700278
2016,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Naryn,,Percent,35.364847
2019,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Naryn,,Percent,7.69586
2007,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Naryn,Female,Percent,8.371003
2010,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Naryn,Female,Percent,7.789375
2012,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Naryn,Female,Percent,14.91758
2007,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Naryn,Male,Percent,29.038815
2008,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Naryn,Male,Percent,59.565174
2009,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Naryn,Male,Percent,9.553836
2010,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Naryn,Male,Percent,57.598157
2011,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Naryn,Male,Percent,28.055737
2012,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Naryn,Male,Percent,37.275184
2013,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Naryn,Male,Percent,18.883958
2014,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Naryn,Male,Percent,28.277877
2015,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Naryn,Male,Percent,8.688097
2016,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Naryn,Male,Percent,81.352255
2019,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Naryn,Male,Percent,17.711654
2008,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Osh,,Percent,2.148043
2011,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Osh,,Percent,2.416918
2015,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Osh,,Percent,5.181481
2016,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Osh,,Percent,2.346151
2017,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Osh,,Percent,4.517834
2018,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Osh,,Percent,4.578335
2016,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Osh,Female,Percent,3.779289
2018,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Osh,Female,Percent,3.897268
2008,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Osh,Male,Percent,4.880906
2011,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Osh,Male,Percent,5.961607
2015,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Osh,Male,Percent,13.020833
2017,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Osh,Male,Percent,11.112963
2018,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Osh,Male,Percent,5.54785
2007,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Talas,,Percent,11.511454
2008,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Talas,,Percent,5.701579
2009,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Talas,,Percent,16.051364
2010,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Talas,,Percent,38.385611
2011,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Talas,,Percent,21.165141
2012,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Talas,,Percent,10.518012
2013,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Talas,,Percent,25.514109
2014,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Talas,,Percent,26.011861
2015,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Talas,,Percent,15.061753
2016,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Talas,,Percent,10.722711
2018,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Talas,,Percent,14.769594
2019,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Talas,,Percent,9.282465
2009,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Talas,Female,Percent,9.474183
2010,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Talas,Female,Percent,10.188487
2014,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Talas,Female,Percent,19.277108
2018,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Talas,Female,Percent,9.250694
2007,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Talas,Male,Percent,26.588673
2008,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Talas,Male,Percent,13.486177
2009,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Talas,Male,Percent,24.585126
2010,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Talas,Male,Percent,71.250445
2011,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Talas,Male,Percent,46.838407
2012,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Talas,Male,Percent,23.092022
2013,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Talas,Male,Percent,55.463117
2014,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Talas,Male,Percent,33.9098
2015,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Talas,Male,Percent,32.619332
2016,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Talas,Male,Percent,23.523877
2018,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Talas,Male,Percent,21.0482
2019,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Talas,Male,Percent,20.620683
