Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,UNIT_MEASURE,Value
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Osh,,,,,,Percent,68.3
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Talas,,,,,,Percent,73.7
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Talas,,,,,,Percent,74.1
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Talas,,,,,,Percent,54.0
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Talas,,,,,,Percent,52.5
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Chui,,,,,,Percent,72.3
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Chui,,,,,,Percent,82.9
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Chui,,,,,,Percent,88.4
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Chui,,,,,,Percent,84.9
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Bishkek (city),,,,,,Percent,92.0
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Bishkek (city),,,,,,Percent,95.1
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Bishkek (city),,,,,,Percent,93.9
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Bishkek (city),,,,,,Percent,98.2
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Osh (city),,,,,,Percent,100.0
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Osh (city),,,,,,Percent,99.4
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Osh (city),,,,,,Percent,100.0
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Osh (city),,,,,,Percent,99.8
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,under 6 years old,,,,Percent,75.9
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,under 6 years old,,,,Percent,77.9
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,under 6 years old,,,,Percent,75.3
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,under 6 years old,,,,Percent,75.1
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,7 to 14 years old,,,,Percent,76.3
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,7 to 14 years old,,,,Percent,78.4
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,7 to 14 years old,,,,Percent,75.8
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,7 to 14 years old,,,,Percent,75.1
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,15 to 28 years old,,,,Percent,77.1
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,15 to 28 years old,,,,Percent,81.3
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,15 to 28 years old,,,,Percent,74.3
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,15 to 28 years old,,,,Percent,75.9
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,Percent,76.8
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,Percent,79.6
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,Percent,76.5
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,Percent,77.4
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,Percent,76.8
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,Percent,80.9
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,Percent,75.8
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,Percent,74.9
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,,Primary education,Percent,75.2
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,,Primary education,Percent,78.3
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,,Primary education,Percent,75.1
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,,Primary education,Percent,75.1
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,,Lower secondary education,Percent,80.2
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,,Lower secondary education,Percent,79.0
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,,Lower secondary education,Percent,76.5
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,,Lower secondary education,Percent,77.3
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,,Upper secondary education,Percent,75.0
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,,Upper secondary education,Percent,78.4
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,,Upper secondary education,Percent,72.1
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,,Upper secondary education,Percent,74.1
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,,Post-secondary non-tertiary education,Percent,78.4
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,,Post-secondary non-tertiary education,Percent,83.9
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,,Post-secondary non-tertiary education,Percent,80.2
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,,Post-secondary non-tertiary education,Percent,79.0
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,,Tertiary education (Bachelor’s and Master's or equivalent),Percent,79.9
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,,Tertiary education (Bachelor’s and Master's or equivalent),Percent,83.9
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,,Tertiary education (Bachelor’s and Master's or equivalent),Percent,82.1
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,,Tertiary education (Bachelor’s and Master's or equivalent),Percent,81.4
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,Quintile 1 (poorest),,Percent,72.5
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,Quintile 1 (poorest),,Percent,79.3
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,Quintile 1 (poorest),,Percent,74.7
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,Quintile 1 (poorest),,Percent,71.6
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,Quintile 2,,Percent,77.3
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,Quintile 2,,Percent,81.9
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,Quintile 2,,Percent,74.8
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,Quintile 2,,Percent,73.0
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,Quintile 3,,Percent,77.7
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,Quintile 3,,Percent,79.4
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,Quintile 3,,Percent,75.4
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,Quintile 3,,Percent,79.8
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,Quintile 4,,Percent,78.2
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,Quintile 4,,Percent,78.7
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,Quintile 4,,Percent,75.5
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,Quintile 4,,Percent,78.6
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,Quintile 5 (richest),,Percent,77.7
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,Quintile 5 (richest),,Percent,78.6
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,Quintile 5 (richest),,Percent,78.0
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,Quintile 5 (richest),,Percent,77.2
