Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Value
2019,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,50.6
2000,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,55.809151
2001,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,73.452418
2002,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,42.634369
2003,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,53.092169
2004,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,48.1
2005,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,47.848938
2006,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,48.420366
2007,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,49.514891
2008,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,45.039446
2009,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,41.917619
2010,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,41.073296
2011,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,40.705385
2012,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,45.363875
2013,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,48.57992
2014,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,45.06
2015,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,46.84518
2016,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,43.9253
2017,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,47.0111
2018,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,43.5
2019,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Rural,Percent,43.9
2000,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Batken,,Percent,59.339716
2001,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Batken,,Percent,61.621051
2002,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Batken,,Percent,36.961393
2003,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Batken,,Percent,42.329001
2004,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Batken,,Percent,37.049508
2005,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Batken,,Percent,53.54665
2006,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Batken,,Percent,47.900712
2007,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Batken,,Percent,30.186768
2008,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Batken,,Percent,37.443818
2009,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Batken,,Percent,48.591583
2010,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Batken,,Percent,42.666903
2011,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Batken,,Percent,44.064464
2012,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Batken,,Percent,50.49106
2013,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Batken,,Percent,62.932382
2014,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Batken,,Percent,53.56602
2015,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Batken,,Percent,49.799251
2016,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Batken,,Percent,52.9718
2017,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Batken,,Percent,52.4614
2018,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Batken,,Percent,54.6
2019,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Batken,,Percent,52.6
2000,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,59.287149
2001,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,81.005572
2002,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,42.498122
2003,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,57.011499
2004,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,51.655713
2005,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,61.433801
2006,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,52.669155
2007,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,61.234009
2008,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,51.475346
2009,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,34.357172
2010,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,45.552551
2011,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,41.458589
2012,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,56.178597
2013,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,55.445404
2014,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,54.779707
2015,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,55.904828
2016,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,48.1947
2017,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,41.1944
2018,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,44.0
2019,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,38.8
2000,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,65.030908
2001,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,78.831057
2002,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,60.063825
2003,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,52.018784
2004,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,40.999171
2005,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,46.03717
2006,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,49.877805
2007,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,50.802119
2008,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,54.861606
2009,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,44.383158
2010,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,43.452039
2011,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,41.044025
2012,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,36.987697
2013,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,39.824088
2014,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,42.638658
2015,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,46.284209
2016,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,45.0267
2017,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,51.7617
2018,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,49.4
2019,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,50.2
2000,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Naryn,,Percent,69.421773
2001,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Naryn,,Percent,83.854909
2002,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Naryn,,Percent,61.635086
2003,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Naryn,,Percent,56.394478
2004,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Naryn,,Percent,64.607909
2005,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Naryn,,Percent,41.085248
2006,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Naryn,,Percent,44.647005
2007,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Naryn,,Percent,54.995283
2008,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Naryn,,Percent,46.270674
2009,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Naryn,,Percent,45.332789
2010,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Naryn,,Percent,53.95726
2011,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Naryn,,Percent,55.074815
2012,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Naryn,,Percent,50.991559
2013,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Naryn,,Percent,49.875233
2014,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Naryn,,Percent,54.149214
2015,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Naryn,,Percent,50.007164
2016,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Naryn,,Percent,52.6105
2017,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Naryn,,Percent,41.3079
2018,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Naryn,,Percent,42.5
2019,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Naryn,,Percent,41.6
2000,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Osh,,Percent,61.998935
2001,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Osh,,Percent,79.954728
2002,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Osh,,Percent,54.70914
2003,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Osh,,Percent,61.826885
2004,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Osh,,Percent,55.635299
2005,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Osh,,Percent,53.173236
2006,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Osh,,Percent,61.102156
2007,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Osh,,Percent,57.709264
2008,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Osh,,Percent,50.124177
2009,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Osh,,Percent,46.700596
2010,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Osh,,Percent,46.190482
2011,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Osh,,Percent,47.071675
2012,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Osh,,Percent,54.141276
2013,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Osh,,Percent,47.140618
2014,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Osh,,Percent,33.115
2015,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Osh,,Percent,37.884188
2016,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Osh,,Percent,39.4276
2017,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Osh,,Percent,42.7541
2018,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Osh,,Percent,41.5
2019,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Osh,,Percent,36.6
2000,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Talas,,Percent,63.975403
2001,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Talas,,Percent,77.544184
2002,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Talas,,Percent,49.613657
2003,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Talas,,Percent,57.113622
2004,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Talas,,Percent,56.048502
2005,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Talas,,Percent,42.225864
2006,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Talas,,Percent,48.801285
2007,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Talas,,Percent,44.743736
2008,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Talas,,Percent,46.638489
2009,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Talas,,Percent,39.560145
2010,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Talas,,Percent,38.135796
2011,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Talas,,Percent,41.962558
2012,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Talas,,Percent,42.399891
2013,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Talas,,Percent,23.469023
2014,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Talas,,Percent,27.367498
2015,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Talas,,Percent,28.689411
2016,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Talas,,Percent,27.3539
2017,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Talas,,Percent,34.8662
2018,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Talas,,Percent,36.1
2019,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Talas,,Percent,37.0
2000,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Chui,,Percent,46.583904
2001,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Chui,,Percent,64.318147
2002,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Chui,,Percent,39.251547
2003,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Chui,,Percent,39.42033
2004,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Chui,,Percent,33.925261
2005,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Chui,,Percent,33.550114
2006,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Chui,,Percent,27.796785
2007,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Chui,,Percent,31.993627
2008,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Chui,,Percent,32.482469
2009,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Chui,,Percent,35.879613
2010,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Chui,,Percent,30.869436
2011,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Chui,,Percent,39.349758
2012,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Chui,,Percent,35.689813
2013,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Chui,,Percent,44.223608
2014,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Chui,,Percent,51.04221
2015,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Chui,,Percent,52.441412
2016,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Chui,,Percent,43.6365
2017,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Chui,,Percent,58.4127
2018,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Chui,,Percent,41.2
2019,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Chui,,Percent,56.0
2000,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,68.003731
2001,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,85.640504
2002,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,68.047002
2003,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,65.35321
2004,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,47.93348
2005,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,48.511241
2006,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,37.044933
2007,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,40.680531
2008,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,39.336853
2009,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,35.924393
2010,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,39.823376
2011,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,49.68253
2012,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,63.775511
2013,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,43.930005
2014,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,54.032632
2015,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,65.190118
2016,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,49.217
2017,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,60.2912
2018,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,51.8
2019,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,53.7
2013,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Osh (city),,Percent,69.262253
2014,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Osh (city),,Percent,67.223461
2015,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Osh (city),,Percent,67.700759
2016,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Osh (city),,Percent,54.4469
2017,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Osh (city),,Percent,72.2366
2018,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Osh (city),,Percent,70.1
2019,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Osh (city),,Percent,59.3
