Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2016,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Economic affairs,Percent,165.3
2017,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Economic affairs,Percent,94.9
2018,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Economic affairs,Percent,80.1
2019,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Economic affairs,Percent,105.5
2010,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Environmental protection,Percent,94.5
2011,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Environmental protection,Percent,99.2
2012,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Environmental protection,Percent,99.9
2013,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Environmental protection,Percent,91.7
2014,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Environmental protection,Percent,98.7
2015,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Environmental protection,Percent,93.6
2016,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Environmental protection,Percent,70.4
2017,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Environmental protection,Percent,101.9
2018,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Environmental protection,Percent,111.5
2019,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Environmental protection,Percent,104.4
2010,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Housing and community amenities,Percent,98.8
2011,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Housing and community amenities,Percent,96.3
2012,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Housing and community amenities,Percent,100.0
2013,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Housing and community amenities,Percent,98.2
2014,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Housing and community amenities,Percent,99.5
2015,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Housing and community amenities,Percent,95.0
2016,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Housing and community amenities,Percent,32.5
2017,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Housing and community amenities,Percent,136.5
2018,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Housing and community amenities,Percent,132.3
2019,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Housing and community amenities,Percent,141.7
2010,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Health,Percent,99.8
2011,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Health,Percent,98.8
2012,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Health,Percent,99.6
2013,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Health,Percent,97.3
2014,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Health,Percent,96.2
2015,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Health,Percent,98.4
2016,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Health,Percent,89.8
2017,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Health,Percent,124.3
2018,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Health,Percent,105.4
2019,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Health,Percent,125.6
2010,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,"Sector: Recreation, culture and religion",Percent,99.0
2011,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,"Sector: Recreation, culture and religion",Percent,97.8
2012,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,"Sector: Recreation, culture and religion",Percent,99.1
2013,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,"Sector: Recreation, culture and religion",Percent,98.8
2014,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,"Sector: Recreation, culture and religion",Percent,95.8
2015,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,"Sector: Recreation, culture and religion",Percent,97.8
2016,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,"Sector: Recreation, culture and religion",Percent,123.6
2017,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,"Sector: Recreation, culture and religion",Percent,172.2
2018,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,"Sector: Recreation, culture and religion",Percent,119.4
2019,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,"Sector: Recreation, culture and religion",Percent,130.8
2010,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Education,Percent,98.6
2011,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Education,Percent,98.8
2012,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Education,Percent,99.5
2013,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Education,Percent,96.8
2014,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Education,Percent,99.5
2015,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Education,Percent,97.3
2016,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Education,Percent,83.7
2017,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Education,Percent,112.8
2018,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Education,Percent,106.4
2019,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Education,Percent,114.1
2010,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Social protection,Percent,98.8
2011,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Social protection,Percent,98.7
2012,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Social protection,Percent,96.2
2013,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Social protection,Percent,97.8
2014,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Social protection,Percent,94.9
2015,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Social protection,Percent,98.4
2016,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Social protection,Percent,97.2
2017,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Social protection,Percent,90.5
2018,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Social protection,Percent,89.4
2019,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Social protection,Percent,90.4
