Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,UNIT_MEASURE,Value
2018,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Batken,,,,Bottom 50%,Percent,12.7
2019,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Batken,,,,Bottom 50%,Percent,13.1
2015,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Jalal-Abad,,,,Bottom 50%,Percent,16.4
2016,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Jalal-Abad,,,,Bottom 50%,Percent,16.7
2017,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Jalal-Abad,,,,Bottom 50%,Percent,16.7
2018,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Jalal-Abad,,,,Bottom 50%,Percent,17.6
2019,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Jalal-Abad,,,,Bottom 50%,Percent,17.4
2015,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Issyk-Kul,,,,Bottom 50%,Percent,17.2
2016,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Issyk-Kul,,,,Bottom 50%,Percent,16.5
2017,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Issyk-Kul,,,,Bottom 50%,Percent,17.0
2018,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Issyk-Kul,,,,Bottom 50%,Percent,14.7
2019,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Issyk-Kul,,,,Bottom 50%,Percent,15.0
2015,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Naryn,,,,Bottom 50%,Percent,31.3
2016,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Naryn,,,,Bottom 50%,Percent,30.8
2017,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Naryn,,,,Bottom 50%,Percent,30.8
2018,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Naryn,,,,Bottom 50%,Percent,31.7
2019,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Naryn,,,,Bottom 50%,Percent,29.0
2015,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Osh,,,,Bottom 50%,Percent,10.3
2016,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Osh,,,,Bottom 50%,Percent,6.3
2017,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Osh,,,,Bottom 50%,Percent,4.2
2018,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Osh,,,,Bottom 50%,Percent,8.8
2019,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Osh,,,,Bottom 50%,Percent,7.4
2015,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Talas,,,,Bottom 50%,Percent,17.6
2016,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Talas,,,,Bottom 50%,Percent,16.3
2017,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Talas,,,,Bottom 50%,Percent,17.0
2018,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Talas,,,,Bottom 50%,Percent,17.6
2019,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Talas,,,,Bottom 50%,Percent,15.1
2015,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Chui,,,,Bottom 50%,Percent,8.3
2016,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Chui,,,,Bottom 50%,Percent,9.5
2017,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Chui,,,,Bottom 50%,Percent,6.0
2018,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Chui,,,,Bottom 50%,Percent,5.5
2019,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Chui,,,,Bottom 50%,Percent,5.0
2015,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Bishkek (city),,,,Bottom 50%,Percent,6.3
2016,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Bishkek (city),,,,Bottom 50%,Percent,6.0
2017,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Bishkek (city),,,,Bottom 50%,Percent,5.3
2018,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Bishkek (city),,,,Bottom 50%,Percent,6.8
2019,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Bishkek (city),,,,Bottom 50%,Percent,6.3
2015,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Osh (city),,,,Bottom 50%,Percent,4.4
2016,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Osh (city),,,,Bottom 50%,Percent,8.8
2017,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Osh (city),,,,Bottom 50%,Percent,8.8
2018,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Osh (city),,,,Bottom 50%,Percent,10.2
2019,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Osh (city),,,,Bottom 50%,Percent,8.3
