Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Value
2019,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,Rural,Percent,91.081092
2011,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Batken,,Percent,69.7
2012,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Batken,,Percent,70.0
2013,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Batken,,Percent,73.1
2014,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Batken,,Percent,74.3
2015,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Batken,,Percent,73.3
2016,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Batken,,Percent,74.1
2017,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Batken,,Percent,79.0
2018,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Batken,,Percent,83.6
2019,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Batken,,Percent,81.026395
2011,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Jalal-Abad,,Percent,95.4
2012,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Jalal-Abad,,Percent,96.0
2013,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Jalal-Abad,,Percent,91.6
2014,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Jalal-Abad,,Percent,89.5
2015,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Jalal-Abad,,Percent,87.7
2016,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Jalal-Abad,,Percent,87.3
2017,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Jalal-Abad,,Percent,91.2
2018,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Jalal-Abad,,Percent,86.4
2019,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Jalal-Abad,,Percent,88.71095
2011,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Issyk-Kul,,Percent,99.0
2012,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Issyk-Kul,,Percent,99.0
2013,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Issyk-Kul,,Percent,93.7
2014,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Issyk-Kul,,Percent,96.8
2015,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Issyk-Kul,,Percent,96.4
2016,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Issyk-Kul,,Percent,97.3
2017,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Issyk-Kul,,Percent,97.0
2018,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Issyk-Kul,,Percent,96.0
2019,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Issyk-Kul,,Percent,96.284686
2011,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Naryn,,Percent,89.2
2012,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Naryn,,Percent,89.1
2013,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Naryn,,Percent,86.8
2014,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Naryn,,Percent,84.4
2015,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Naryn,,Percent,90.3
2016,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Naryn,,Percent,95.9
2017,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Naryn,,Percent,95.8
2018,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Naryn,,Percent,96.3
2019,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Naryn,,Percent,96.816529
2011,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Osh,,Percent,86.4
2012,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Osh,,Percent,88.7
2013,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Osh,,Percent,73.7
2014,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Osh,,Percent,72.9
2015,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Osh,,Percent,74.5
2016,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Osh,,Percent,76.4
2017,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Osh,,Percent,77.3
2018,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Osh,,Percent,83.2
2019,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Osh,,Percent,92.436112
2011,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Talas,,Percent,96.5
2012,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Talas,,Percent,97.6
2013,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Talas,,Percent,99.7
2014,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Talas,,Percent,99.7
2015,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Talas,,Percent,99.2
2016,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Talas,,Percent,100.0
2017,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Talas,,Percent,99.4
2018,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Talas,,Percent,99.4
2019,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Talas,,Percent,99.291966
2011,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Chui,,Percent,99.6
2012,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Chui,,Percent,99.8
2013,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Chui,,Percent,100.0
2014,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Chui,,Percent,100.0
2015,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Chui,,Percent,100.0
2016,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Chui,,Percent,100.0
2017,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Chui,,Percent,100.0
2018,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Chui,,Percent,100.0
2019,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Chui,,Percent,100.0
2011,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Bishkek (city),,Percent,100.0
2012,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Bishkek (city),,Percent,100.0
2013,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Bishkek (city),,Percent,99.8
2014,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Bishkek (city),,Percent,99.8
2015,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Bishkek (city),,Percent,100.0
2016,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Bishkek (city),,Percent,100.0
2017,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Bishkek (city),,Percent,100.0
2018,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Bishkek (city),,Percent,100.0
2019,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Bishkek (city),,Percent,100.0
2013,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Osh (city),,Percent,99.7
2014,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Osh (city),,Percent,96.5
2015,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Osh (city),,Percent,96.7
2016,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Osh (city),,Percent,100.0
2017,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Osh (city),,Percent,95.7
2018,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Osh (city),,Percent,96.5
2019,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Osh (city),,Percent,97.757015
