Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2012,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in political positions,Kyrgyzstan,Female,Percent,16
2013,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in political positions,Kyrgyzstan,Female,Percent,31
2014,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in political positions,Kyrgyzstan,Female,Percent,26
2015,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in political positions,Kyrgyzstan,Female,Percent,25
2016,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in political positions,Kyrgyzstan,Female,Percent,26
2017,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in political positions,Kyrgyzstan,Female,Percent,5
2018,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in political positions,Kyrgyzstan,Female,Percent,4
2019,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in political positions,Kyrgyzstan,Female,Percent,4
2012,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in special positions,Kyrgyzstan,,Percent,24
2013,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in special positions,Kyrgyzstan,,Percent,13
2014,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in special positions,Kyrgyzstan,,Percent,9
2015,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in special positions,Kyrgyzstan,,Percent,22
2016,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in special positions,Kyrgyzstan,,Percent,26
2017,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in special positions,Kyrgyzstan,,Percent,27
2018,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in special positions,Kyrgyzstan,,Percent,26
2019,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in special positions,Kyrgyzstan,,Percent,33
2012,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in special positions,Kyrgyzstan,Male,Percent,27
2013,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in special positions,Kyrgyzstan,Male,Percent,16
2014,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in special positions,Kyrgyzstan,Male,Percent,22
2015,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in special positions,Kyrgyzstan,Male,Percent,26
2016,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in special positions,Kyrgyzstan,Male,Percent,28
2017,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in special positions,Kyrgyzstan,Male,Percent,28
2018,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in special positions,Kyrgyzstan,Male,Percent,27
2019,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in special positions,Kyrgyzstan,Male,Percent,39
2012,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in special positions,Kyrgyzstan,Female,Percent,20
2013,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in special positions,Kyrgyzstan,Female,Percent,9
2014,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in special positions,Kyrgyzstan,Female,Percent,17
2015,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in special positions,Kyrgyzstan,Female,Percent,17
2016,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in special positions,Kyrgyzstan,Female,Percent,23
2017,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in special positions,Kyrgyzstan,Female,Percent,24
2018,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in special positions,Kyrgyzstan,Female,Percent,25
2019,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in special positions,Kyrgyzstan,Female,Percent,25
2012,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in administrative positions,Kyrgyzstan,,Percent,946
2013,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in administrative positions,Kyrgyzstan,,Percent,938
2014,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in administrative positions,Kyrgyzstan,,Percent,960
2015,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in administrative positions,Kyrgyzstan,,Percent,934
2016,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in administrative positions,Kyrgyzstan,,Percent,928
2017,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in administrative positions,Kyrgyzstan,,Percent,958
2018,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in administrative positions,Kyrgyzstan,,Percent,961
2019,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in administrative positions,Kyrgyzstan,,Percent,955
2012,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in administrative positions,Kyrgyzstan,Male,Percent,933
2013,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in administrative positions,Kyrgyzstan,Male,Percent,923
2014,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in administrative positions,Kyrgyzstan,Male,Percent,922
2015,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in administrative positions,Kyrgyzstan,Male,Percent,917
2016,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in administrative positions,Kyrgyzstan,Male,Percent,913
2017,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in administrative positions,Kyrgyzstan,Male,Percent,948
2018,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in administrative positions,Kyrgyzstan,Male,Percent,954
2019,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in administrative positions,Kyrgyzstan,Male,Percent,944
2012,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in administrative positions,Kyrgyzstan,Female,Percent,964
2013,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in administrative positions,Kyrgyzstan,Female,Percent,960
2014,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in administrative positions,Kyrgyzstan,Female,Percent,957
2015,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in administrative positions,Kyrgyzstan,Female,Percent,958
2016,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in administrative positions,Kyrgyzstan,Female,Percent,951
2017,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in administrative positions,Kyrgyzstan,Female,Percent,971
2018,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in administrative positions,Kyrgyzstan,Female,Percent,972
2019,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in administrative positions,Kyrgyzstan,Female,Percent,972
