Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,Economic activity,UNIT_MEASURE,Value
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,20 to 24 years old,,,Percent,10.713886
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,20 to 24 years old,,,Percent,8.1
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,25 to 29 years old,,,Percent,20.936837
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,25 to 29 years old,,,Percent,17.480642
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,25 to 29 years old,,,Percent,18.451453
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,25 to 29 years old,,,Percent,15.81122
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,25 to 29 years old,,,Percent,11.1
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,30 to 34 years old,,,Percent,31.941974
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,30 to 34 years old,,,Percent,22.514499
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,30 to 34 years old,,,Percent,22.859646
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,30 to 34 years old,,,Percent,18.364477
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,30 to 34 years old,,,Percent,17.1
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,35 to 39 years old,,,Percent,33.358438
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,35 to 39 years old,,,Percent,27.556783
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,35 to 39 years old,,,Percent,26.449237
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,35 to 39 years old,,,Percent,23.421118
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,35 to 39 years old,,,Percent,25.0
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,40 to 44 years old,,,Percent,27.540969
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,40 to 44 years old,,,Percent,20.070139
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,40 to 44 years old,,,Percent,21.848723
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,40 to 44 years old,,,Percent,18.519254
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,40 to 44 years old,,,Percent,16.1
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,45 to 49 years old,,,Percent,20.291457
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,45 to 49 years old,,,Percent,15.102517
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,45 to 49 years old,,,Percent,15.28059
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,45 to 49 years old,,,Percent,13.51728
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,45 to 49 years old,,,Percent,11.1
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,50 to 54 years old,,,Percent,12.36359
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,50 to 54 years old,,,Percent,11.302524
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,50 to 54 years old,,,Percent,10.786084
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,50 to 54 years old,,,Percent,12.477862
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,50 to 54 years old,,,Percent,8.6
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,55 to 59 years old,,,Percent,11.393416
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,55 to 59 years old,,,Percent,8.398371
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,55 to 59 years old,,,Percent,10.344861
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,55 to 59 years old,,,Percent,9.489257
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,55 to 59 years old,,,Percent,7.9
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,60 to 64 years old,,,Percent,9.437077
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,60 to 64 years old,,,Percent,14.236349
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,60 to 64 years old,,,Percent,14.339166
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,60 to 64 years old,,,Percent,11.956667
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,60 to 64 years old,,,Percent,8.8
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,65 to 69 years old,,,Percent,5.348356
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,65 to 69 years old,,,Percent,7.617625
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,65 to 69 years old,,,Percent,6.152168
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,65 to 69 years old,,,Percent,4.775939
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,65 to 69 years old,,,Percent,4.2
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,70 years old and over,,,Percent,4.324812
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,70 years old and over,,,Percent,13.929941
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,70 years old and over,,,Percent,10.576621
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,70 years old and over,,,Percent,3.717472
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,70 years old and over,,,Percent,7.3
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,Urban,,Percent,18.096777
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,Urban,,Percent,11.846667
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,Urban,,Percent,13.174611
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,Urban,,Percent,13.0
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,Urban,,Percent,9.7
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,Rural,,Percent,25.484816
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,Rural,,Percent,21.760369
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,Rural,,Percent,20.740757
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,Rural,,Percent,16.9
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,Rural,,Percent,15.2
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,"Agriculture, forestry and fishing",Percent,29.143908
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,"Agriculture, forestry and fishing",Percent,24.458297
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,"Agriculture, forestry and fishing",Percent,22.569518
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,"Agriculture, forestry and fishing",Percent,21.91768
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,"Agriculture, forestry and fishing",Percent,14.2
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Mining and quarrying,Percent,25.706733
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Mining and quarrying,Percent,17.407081
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Mining and quarrying,Percent,43.485033
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Mining and quarrying,Percent,46.524661
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Mining and quarrying,Percent,40.4
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Manufacturing,Percent,20.686606
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Manufacturing,Percent,16.804167
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Manufacturing,Percent,19.252255
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Manufacturing,Percent,12.973926
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Manufacturing,Percent,14.3
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,"Electricity, gas, steam and air conditioning supply",Percent,10.380818
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,"Electricity, gas, steam and air conditioning supply",Percent,6.694579
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,"Electricity, gas, steam and air conditioning supply",Percent,16.766198
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,"Electricity, gas, steam and air conditioning supply",Percent,9.870001
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,"Electricity, gas, steam and air conditioning supply",Percent,10.0
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,"Water supply; sewerage, waste management and remediation activities",Percent,8.763458
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,"Water supply; sewerage, waste management and remediation activities",Percent,11.046115
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,"Water supply; sewerage, waste management and remediation activities",Percent,16.935338
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,"Water supply; sewerage, waste management and remediation activities",Percent,14.440148
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,"Water supply; sewerage, waste management and remediation activities",Percent,16.3
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Construction,Percent,30.479759
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Construction,Percent,21.910701
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Construction,Percent,25.189653
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Construction,Percent,18.342748
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Construction,Percent,16.1
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Percent,17.048203
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Percent,13.904379
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Percent,12.664883
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Percent,12.403591
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Wholesale and retail trade; repair of motor vehicles and motorcycles,Percent,11.6
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Transportation and storage,Percent,22.27405
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Transportation and storage,Percent,20.940255
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Transportation and storage,Percent,17.99169
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Transportation and storage,Percent,14.190519
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Transportation and storage,Percent,15.2
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Accommodation and food service activities,Percent,18.21034
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Accommodation and food service activities,Percent,13.950839
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Accommodation and food service activities,Percent,10.454912
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Accommodation and food service activities,Percent,10.100327
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Accommodation and food service activities,Percent,8.9
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Information and communication,Percent,23.378289
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Information and communication,Percent,12.552141
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Information and communication,Percent,7.21763
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Information and communication,Percent,7.39829
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Information and communication,Percent,2.1
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Financial and insurance activities,Percent,10.489031
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Financial and insurance activities,Percent,6.973096
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Financial and insurance activities,Percent,11.910368
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Financial and insurance activities,Percent,10.729115
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Financial and insurance activities,Percent,15.6
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Real estate activities,Percent,3.934555
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Real estate activities,Percent,1.56104
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Real estate activities,Percent,1.876997
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,"Professional, scientific and technical activities",Percent,18.961063
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,"Professional, scientific and technical activities",Percent,6.415037
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,"Professional, scientific and technical activities",Percent,10.733285
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,"Professional, scientific and technical activities",Percent,6.187182
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,"Professional, scientific and technical activities",Percent,12.6
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Administrative and support service activities,Percent,13.647895
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Administrative and support service activities,Percent,9.73944
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Administrative and support service activities,Percent,17.445705
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Administrative and support service activities,Percent,10.903917
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Administrative and support service activities,Percent,10.8
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Public administration and defence; compulsory social security,Percent,16.876779
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Public administration and defence; compulsory social security,Percent,9.94822
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Public administration and defence; compulsory social security,Percent,10.126909
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Public administration and defence; compulsory social security,Percent,6.64676
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Public administration and defence; compulsory social security,Percent,6.7
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Education,Percent,20.413164
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Education,Percent,16.145522
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Education,Percent,18.57928
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Education,Percent,18.915135
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Education,Percent,13.2
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Human health and social work activities,Percent,13.310295
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Human health and social work activities,Percent,11.612557
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Human health and social work activities,Percent,15.172329
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Human health and social work activities,Percent,12.026034
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Human health and social work activities,Percent,10.9
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,"Arts, entertainment and recreation",Percent,24.880928
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,"Arts, entertainment and recreation",Percent,22.865184
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,"Arts, entertainment and recreation",Percent,13.457395
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,"Arts, entertainment and recreation",Percent,9.968181
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,"Arts, entertainment and recreation",Percent,13.3
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Other service activities,Percent,14.316551
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Other service activities,Percent,10.525974
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Other service activities,Percent,9.650244
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Other service activities,Percent,9.121616
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Other service activities,Percent,6.8
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Percent,23.958709
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Percent,46.915523
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Percent,31.481607
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Percent,23.380874
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Percent,18.3
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,Activities of extraterritorial organisations and bodies,Percent,15.599786
