Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2014,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Non-tax revenues,Percent,6.7
2015,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Non-tax revenues,Percent,8.0
2016,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Non-tax revenues,Percent,5.6
2017,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Non-tax revenues,Percent,5.7
2018,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Non-tax revenues,Percent,4.5
2019,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Non-tax revenues,Percent,5.5
2007,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Income from sale of non-financial assets,Percent,0.3
2008,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Income from sale of non-financial assets,Percent,0.6
2009,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Income from sale of non-financial assets,Percent,0.1
2010,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Income from sale of non-financial assets,Percent,0.3
2011,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Income from sale of non-financial assets,Percent,0.2
2012,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Income from sale of non-financial assets,Percent,0.1
2013,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Income from sale of non-financial assets,Percent,0.0
2014,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Income from sale of non-financial assets,Percent,0.0
2015,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Income from sale of non-financial assets,Percent,0.0
2016,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Income from sale of non-financial assets,Percent,0.0
2017,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Income from sale of non-financial assets,Percent,0.0
2018,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Income from sale of non-financial assets,Percent,0.0
2019,Normal value,Units,Country Data,Annual,National,Total government revenue as a proportion of GDP,Kyrgyzstan,Income: Income from sale of non-financial assets,Percent,0.0
