Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2012,Normal value,Units,Country Data,Annual,National,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence",Kyrgyzstan,Female,Number,509
2013,Normal value,Units,Country Data,Annual,National,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence",Kyrgyzstan,Female,Number,508
2014,Normal value,Units,Country Data,Annual,National,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence",Kyrgyzstan,Female,Number,495
2015,Normal value,Units,Country Data,Annual,National,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence",Kyrgyzstan,Female,Number,666
2016,Normal value,Units,Country Data,Annual,National,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence",Kyrgyzstan,Female,Number,657
2017,Normal value,Units,Country Data,Annual,National,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence",Kyrgyzstan,Female,Number,629
2018,Normal value,Units,Country Data,Annual,National,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence",Kyrgyzstan,Female,Number,555
2019,Normal value,Units,Country Data,Annual,National,"Number of women who contacted healthcare organizations that provide health
and preventive care, due to domestic violence",Kyrgyzstan,Female,Number,539
2010,Normal value,Units,Country Data,Annual,National,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence",Kyrgyzstan,Female,Number,414
2011,Normal value,Units,Country Data,Annual,National,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence",Kyrgyzstan,Female,Number,320
2012,Normal value,Units,Country Data,Annual,National,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence",Kyrgyzstan,Female,Number,498
2013,Normal value,Units,Country Data,Annual,National,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence",Kyrgyzstan,Female,Number,822
2014,Normal value,Units,Country Data,Annual,National,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence",Kyrgyzstan,Female,Number,570
2015,Normal value,Units,Country Data,Annual,National,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence",Kyrgyzstan,Female,Number,485
2016,Normal value,Units,Country Data,Annual,National,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence",Kyrgyzstan,Female,Number,372
2017,Normal value,Units,Country Data,Annual,National,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence",Kyrgyzstan,Female,Number,176
2018,Normal value,Units,Country Data,Annual,National,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence",Kyrgyzstan,Female,Number,47
2019,Normal value,Units,Country Data,Annual,National,"Number of women who contacted ambulance stations (units, hospitals) due to domestic violence",Kyrgyzstan,Female,Number,211
2010,Normal value,Units,Country Data,Annual,National,Number of women treated for injuries resulting from domestic violence,Kyrgyzstan,Female,Number,445
2011,Normal value,Units,Country Data,Annual,National,Number of women treated for injuries resulting from domestic violence,Kyrgyzstan,Female,Number,491
2012,Normal value,Units,Country Data,Annual,National,Number of women treated for injuries resulting from domestic violence,Kyrgyzstan,Female,Number,504
2013,Normal value,Units,Country Data,Annual,National,Number of women treated for injuries resulting from domestic violence,Kyrgyzstan,Female,Number,600
2014,Normal value,Units,Country Data,Annual,National,Number of women treated for injuries resulting from domestic violence,Kyrgyzstan,Female,Number,731
2015,Normal value,Units,Country Data,Annual,National,Number of women treated for injuries resulting from domestic violence,Kyrgyzstan,Female,Number,1896
2016,Normal value,Units,Country Data,Annual,National,Number of women treated for injuries resulting from domestic violence,Kyrgyzstan,Female,Number,1404
2017,Normal value,Units,Country Data,Annual,National,Number of women treated for injuries resulting from domestic violence,Kyrgyzstan,Female,Number,1084
2018,Normal value,Units,Country Data,Annual,National,Number of women treated for injuries resulting from domestic violence,Kyrgyzstan,Female,Number,970
2019,Normal value,Units,Country Data,Annual,National,Number of women treated for injuries resulting from domestic violence,Kyrgyzstan,Female,Number,939
