Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Education level,UNIT_MEASURE,Value
2017,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Male,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),Percent,14.7
2018,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Male,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),Percent,13.9
2019,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Male,15 to 17 years old,Secondary and post-secondary non-tertiary education (intermediate),Percent,13.7
2010,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,,17 to 20 years old,Short-cycle tertiary education,Percent,13.6
2013,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,,17 to 20 years old,Short-cycle tertiary education,Percent,20.3
2014,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,,17 to 20 years old,Short-cycle tertiary education,Percent,21.8
2015,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,,17 to 20 years old,Short-cycle tertiary education,Percent,21.1
2016,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,,17 to 20 years old,Short-cycle tertiary education,Percent,22.0
2017,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,,17 to 20 years old,Short-cycle tertiary education,Percent,22.8
2018,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,,17 to 20 years old,Short-cycle tertiary education,Percent,23.1
2019,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,,17 to 20 years old,Short-cycle tertiary education,Percent,23.1
2010,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Female,17 to 20 years old,Short-cycle tertiary education,Percent,16.0
2013,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Female,17 to 20 years old,Short-cycle tertiary education,Percent,23.8
2014,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Female,17 to 20 years old,Short-cycle tertiary education,Percent,24.3
2015,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Female,17 to 20 years old,Short-cycle tertiary education,Percent,24.2
2016,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Female,17 to 20 years old,Short-cycle tertiary education,Percent,25.2
2017,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Female,17 to 20 years old,Short-cycle tertiary education,Percent,26.4
2018,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Female,17 to 20 years old,Short-cycle tertiary education,Percent,26.4
2019,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Female,17 to 20 years old,Short-cycle tertiary education,Percent,26.5
2010,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Male,17 to 20 years old,Short-cycle tertiary education,Percent,11.2
2013,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Male,17 to 20 years old,Short-cycle tertiary education,Percent,16.8
2014,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Male,17 to 20 years old,Short-cycle tertiary education,Percent,18.0
2015,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Male,17 to 20 years old,Short-cycle tertiary education,Percent,18.0
2016,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Male,17 to 20 years old,Short-cycle tertiary education,Percent,18.8
2017,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Male,17 to 20 years old,Short-cycle tertiary education,Percent,19.3
2018,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Male,17 to 20 years old,Short-cycle tertiary education,Percent,19.9
2019,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Male,17 to 20 years old,Short-cycle tertiary education,Percent,19.8
2010,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),Percent,24.3
2013,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),Percent,24.3
2014,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),Percent,23.8
2015,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),Percent,22.6
2016,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),Percent,20.2
2017,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),Percent,19.1
2018,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),Percent,19.8
2019,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),Percent,22.1
2010,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),Percent,26.3
2013,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),Percent,26.7
2014,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),Percent,26.5
2015,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),Percent,24.6
2016,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),Percent,22.2
2017,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),Percent,20.6
2018,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),Percent,21.3
2019,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),Percent,23.5
2010,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),Percent,22.4
2013,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),Percent,21.8
2014,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),Percent,21.2
2015,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),Percent,20.6
2016,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),Percent,18.3
2017,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),Percent,17.4
2018,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),Percent,18.3
2019,Normal value,Units,Country Data,Annual,National,Proportion of young people receiving education,Kyrgyzstan,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),Percent,20.8
