Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,Disability status,UNIT_MEASURE,Value
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,45 to 49 years old,,,,,Percent,66.0
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,,,,Primary education,,Percent,20.4
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,,,,Lower secondary education,,Percent,36.5
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,,,,Lower secondary education,,Percent,67.8
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,,,,Upper secondary education,,Percent,42.1
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,,,,Upper secondary education,,Percent,62.9
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,,,,Post-secondary non-tertiary education,,Percent,43.3
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,,,,Post-secondary non-tertiary education,,Percent,66.2
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,,,,Short-cycle tertiary education,,Percent,43.7
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,,,,Short-cycle tertiary education,,Percent,74.3
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,,,,,Persons with disability,Percent,81.6
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,,,,,Persons without disability,Percent,67.1
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,,,Quintile 1 (poorest),,,Percent,42.5
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,,,Quintile 1 (poorest),,,Percent,66.5
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,,,Quintile 2,,,Percent,37.8
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,,,Quintile 2,,,Percent,60.7
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,,,Quintile 3,,,Percent,39.1
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,,,Quintile 3,,,Percent,69.2
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,,,Quintile 4,,,Percent,45.1
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,,,Quintile 4,,,Percent,69.3
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,,,Quintile 5 (richest),,,Percent,45.3
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Kyrgyzstan,Female,,,Quintile 5 (richest),,,Percent,71.4
