Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Time series-level footnotes,Value
2018,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Chui,,Percent,,21.4
2019,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Chui,,Percent,,20.3
2010,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Bishkek (city),,Percent,,14.5
2011,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Bishkek (city),,Percent,,13.6
2012,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Bishkek (city),,Percent,,12.8
2013,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Bishkek (city),,Percent,,13.5
2014,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Bishkek (city),,Percent,,13.5
2015,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Bishkek (city),,Percent,,14.8
2016,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Bishkek (city),,Percent,,15.4
2017,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Bishkek (city),,Percent,,16.1
2018,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Bishkek (city),,Percent,,16.4
2019,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Bishkek (city),,Percent,,18.7
2013,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Osh (city),,Percent,,7.5
2014,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Osh (city),,Percent,,7.8
2015,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Osh (city),,Percent,,5.1
2016,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Osh (city),,Percent,,5.1
2017,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Osh (city),,Percent,,7.6
2018,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Osh (city),,Percent,,8.5
2019,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Osh (city),,Percent,,8.9
2010,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Kyrgyzstan,Female,Percent,,9.3
2011,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Kyrgyzstan,Female,Percent,,8.8
2012,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Kyrgyzstan,Female,Percent,,9.0
2013,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Kyrgyzstan,Female,Percent,,8.8
2014,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Kyrgyzstan,Female,Percent,,8.9
2015,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Kyrgyzstan,Female,Percent,,8.4
2016,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Kyrgyzstan,Female,Percent,,9.1
2017,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Kyrgyzstan,Female,Percent,,11.3
2018,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Kyrgyzstan,Female,Percent,,12.5
2019,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Kyrgyzstan,Female,Percent,,12.5
2010,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Kyrgyzstan,Male,Percent,,6.7
2011,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Kyrgyzstan,Male,Percent,,6.8
2012,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Kyrgyzstan,Male,Percent,,6.6
2013,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Kyrgyzstan,Male,Percent,,5.7
2014,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Kyrgyzstan,Male,Percent,,5.6
2015,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Kyrgyzstan,Male,Percent,,6.7
2016,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Kyrgyzstan,Male,Percent,,6.7
2017,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Kyrgyzstan,Male,Percent,,9.3
2018,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Kyrgyzstan,Male,Percent,,11.7
2019,Normal value,Units,Country Data,Annual,National,Manufacturing employment as a proportion of total employment,Kyrgyzstan,Male,Percent,,11.4
